"Label (Grouping)","Alabama!!Total!!Estimate","Alabama!!Male!!Estimate","Alabama!!Female!!Estimate","Alaska!!Total!!Estimate","Alaska!!Male!!Estimate","Alaska!!Female!!Estimate","Arizona!!Total!!Estimate","Arizona!!Male!!Estimate","Arizona!!Female!!Estimate","Arkansas!!Total!!Estimate","Arkansas!!Male!!Estimate","Arkansas!!Female!!Estimate","California!!Total!!Estimate","California!!Male!!Estimate","California!!Female!!Estimate","Colorado!!Total!!Estimate","Colorado!!Male!!Estimate","Colorado!!Female!!Estimate","Connecticut!!Total!!Estimate","Connecticut!!Male!!Estimate","Connecticut!!Female!!Estimate","Delaware!!Total!!Estimate","Delaware!!Male!!Estimate","Delaware!!Female!!Estimate","District of Columbia!!Total!!Estimate","District of Columbia!!Male!!Estimate","District of Columbia!!Female!!Estimate","Florida!!Total!!Estimate","Florida!!Male!!Estimate","Florida!!Female!!Estimate","Georgia!!Total!!Estimate","Georgia!!Male!!Estimate","Georgia!!Female!!Estimate","Hawaii!!Total!!Estimate","Hawaii!!Male!!Estimate","Hawaii!!Female!!Estimate","Idaho!!Total!!Estimate","Idaho!!Male!!Estimate","Idaho!!Female!!Estimate","Illinois!!Total!!Estimate","Illinois!!Male!!Estimate","Illinois!!Female!!Estimate","Indiana!!Total!!Estimate","Indiana!!Male!!Estimate","Indiana!!Female!!Estimate","Iowa!!Total!!Estimate","Iowa!!Male!!Estimate","Iowa!!Female!!Estimate","Kansas!!Total!!Estimate","Kansas!!Male!!Estimate","Kansas!!Female!!Estimate","Kentucky!!Total!!Estimate","Kentucky!!Male!!Estimate","Kentucky!!Female!!Estimate","Louisiana!!Total!!Estimate","Louisiana!!Male!!Estimate","Louisiana!!Female!!Estimate","Maine!!Total!!Estimate","Maine!!Male!!Estimate","Maine!!Female!!Estimate","Maryland!!Total!!Estimate","Maryland!!Male!!Estimate","Maryland!!Female!!Estimate","Massachusetts!!Total!!Estimate","Massachusetts!!Male!!Estimate","Massachusetts!!Female!!Estimate","Michigan!!Total!!Estimate","Michigan!!Male!!Estimate","Michigan!!Female!!Estimate","Minnesota!!Total!!Estimate","Minnesota!!Male!!Estimate","Minnesota!!Female!!Estimate","Mississippi!!Total!!Estimate","Mississippi!!Male!!Estimate","Mississippi!!Female!!Estimate","Missouri!!Total!!Estimate","Missouri!!Male!!Estimate","Missouri!!Female!!Estimate","Montana!!Total!!Estimate","Montana!!Male!!Estimate","Montana!!Female!!Estimate","Nebraska!!Total!!Estimate","Nebraska!!Male!!Estimate","Nebraska!!Female!!Estimate","Nevada!!Total!!Estimate","Nevada!!Male!!Estimate","Nevada!!Female!!Estimate","New Hampshire!!Total!!Estimate","New Hampshire!!Male!!Estimate","New Hampshire!!Female!!Estimate","New Jersey!!Total!!Estimate","New Jersey!!Male!!Estimate","New Jersey!!Female!!Estimate","New Mexico!!Total!!Estimate","New Mexico!!Male!!Estimate","New Mexico!!Female!!Estimate","New York!!Total!!Estimate","New York!!Male!!Estimate","New York!!Female!!Estimate","North Carolina!!Total!!Estimate","North Carolina!!Male!!Estimate","North Carolina!!Female!!Estimate","North Dakota!!Total!!Estimate","North Dakota!!Male!!Estimate","North Dakota!!Female!!Estimate","Ohio!!Total!!Estimate","Ohio!!Male!!Estimate","Ohio!!Female!!Estimate","Oklahoma!!Total!!Estimate","Oklahoma!!Male!!Estimate","Oklahoma!!Female!!Estimate","Oregon!!Total!!Estimate","Oregon!!Male!!Estimate","Oregon!!Female!!Estimate","Pennsylvania!!Total!!Estimate","Pennsylvania!!Male!!Estimate","Pennsylvania!!Female!!Estimate","Rhode Island!!Total!!Estimate","Rhode Island!!Male!!Estimate","Rhode Island!!Female!!Estimate","South Carolina!!Total!!Estimate","South Carolina!!Male!!Estimate","South Carolina!!Female!!Estimate","South Dakota!!Total!!Estimate","South Dakota!!Male!!Estimate","South Dakota!!Female!!Estimate","Tennessee!!Total!!Estimate","Tennessee!!Male!!Estimate","Tennessee!!Female!!Estimate","Texas!!Total!!Estimate","Texas!!Male!!Estimate","Texas!!Female!!Estimate","Utah!!Total!!Estimate","Utah!!Male!!Estimate","Utah!!Female!!Estimate","Vermont!!Total!!Estimate","Vermont!!Male!!Estimate","Vermont!!Female!!Estimate","Virginia!!Total!!Estimate","Virginia!!Male!!Estimate","Virginia!!Female!!Estimate","Washington!!Total!!Estimate","Washington!!Male!!Estimate","Washington!!Female!!Estimate","West Virginia!!Total!!Estimate","West Virginia!!Male!!Estimate","West Virginia!!Female!!Estimate","Wisconsin!!Total!!Estimate","Wisconsin!!Male!!Estimate","Wisconsin!!Female!!Estimate","Wyoming!!Total!!Estimate","Wyoming!!Male!!Estimate","Wyoming!!Female!!Estimate","Puerto Rico!!Total!!Estimate","Puerto Rico!!Male!!Estimate","Puerto Rico!!Female!!Estimate"
"    16 years and over","79.6%","78.5%","80.6%","77.0%","77.4%","76.5%","78.3%","77.8%","78.9%","78.6%","77.5%","79.6%","78.8%","78.2%","79.4%","78.9%","78.5%","79.2%","80.9%","80.0%","81.7%","80.2%","79.1%","81.2%","84.4%","83.6%","85.1%","81.8%","80.9%","82.6%","77.9%","76.9%","78.8%","80.4%","80.0%","80.8%","76.3%","75.3%","77.2%","79.2%","78.3%","80.1%","78.5%","77.6%","79.4%","79.2%","78.4%","80.0%","77.8%","77.0%","78.5%","79.4%","78.6%","80.2%","78.6%","77.9%","79.3%","82.8%","81.9%","83.7%","79.9%","78.9%","80.9%","81.8%","80.7%","82.7%","80.1%","79.2%","80.9%","78.9%","78.4%","79.5%","78.0%","77.0%","78.9%","79.4%","78.6%","80.2%","80.4%","80.2%","80.6%","77.9%","77.4%","78.3%","79.1%","78.8%","79.3%","82.2%","81.7%","82.6%","79.9%","79.0%","80.8%","78.3%","77.7%","78.9%","81.0%","79.9%","81.9%","79.3%","78.3%","80.2%","79.9%","80.0%","79.8%","79.7%","78.8%","80.6%","77.9%","77.1%","78.7%","80.6%","79.9%","81.4%","81.2%","80.4%","82.0%","82.4%","81.5%","83.4%","79.9%","78.9%","80.7%","77.7%","76.9%","78.6%","79.6%","78.6%","80.5%","76.3%","75.6%","76.9%","72.3%","71.6%","73.0%","82.8%","81.9%","83.6%","79.9%","79.2%","80.6%","79.6%","79.2%","80.0%","81.6%","80.9%","82.3%","79.8%","79.2%","80.5%","78.7%","78.4%","79.0%","80.4%","78.8%","81.8%"
"    18 years and over","77.0%","75.9%","78.1%","74.4%","74.8%","73.9%","75.6%","75.0%","76.3%","76.0%","74.6%","77.3%","76.1%","75.4%","76.8%","76.4%","76.0%","76.9%","78.2%","77.2%","79.1%","78.0%","76.9%","79.0%","82.7%","81.7%","83.7%","79.4%","78.4%","80.4%","75.1%","73.9%","76.2%","78.1%","77.7%","78.6%","73.5%","72.6%","74.5%","76.5%","75.6%","77.5%","75.8%","74.9%","76.8%","76.6%","75.8%","77.4%","75.1%","74.3%","75.9%","76.9%","75.9%","77.9%","75.9%","75.1%","76.7%","80.4%","79.5%","81.3%","77.3%","76.2%","78.4%","79.2%","78.0%","80.3%","77.3%","76.3%","78.3%","76.3%","75.7%","77.0%","75.4%","74.0%","76.6%","76.9%","75.8%","77.8%","77.9%","77.6%","78.2%","75.2%","74.7%","75.7%","76.3%","76.0%","76.6%","79.5%","79.0%","80.0%","77.3%","76.2%","78.3%","75.6%","75.0%","76.3%","78.4%","77.2%","79.5%","76.8%","75.7%","77.9%","77.8%","77.7%","77.8%","77.1%","76.1%","78.1%","75.4%","74.5%","76.3%","78.1%","77.3%","79.0%","78.7%","77.7%","79.7%","79.8%","78.4%","81.1%","77.4%","76.4%","78.4%","75.3%","74.8%","75.9%","77.0%","75.8%","78.2%","73.4%","72.6%","74.2%","69.1%","68.4%","69.8%","80.2%","79.3%","81.0%","77.4%","76.6%","78.2%","77.1%","76.6%","77.6%","79.4%","78.5%","80.2%","77.3%","76.5%","78.0%","76.0%","75.5%","76.6%","77.5%","75.8%","79.1%"
"    60 years and over","21.0%","19.2%","22.6%","14.3%","14.0%","14.6%","21.1%","19.6%","22.5%","21.2%","19.4%","23.1%","17.8%","16.1%","19.4%","18.1%","16.8%","19.4%","21.2%","19.2%","23.1%","22.3%","20.8%","23.7%","16.4%","14.7%","17.9%","24.7%","22.8%","26.5%","17.2%","15.6%","18.8%","21.7%","19.7%","23.7%","19.7%","18.5%","21.0%","19.2%","17.4%","20.9%","19.7%","17.9%","21.4%","21.7%","19.9%","23.4%","19.8%","17.8%","21.8%","20.6%","18.9%","22.3%","18.9%","17.4%","20.3%","25.1%","23.4%","26.8%","19.2%","17.4%","20.9%","20.7%","18.8%","22.4%","21.3%","19.6%","22.9%","19.8%","18.3%","21.2%","19.6%","17.9%","21.3%","21.1%","19.4%","22.7%","23.1%","22.2%","23.9%","20.0%","18.4%","21.6%","19.4%","18.2%","20.5%","22.1%","20.8%","23.3%","20.1%","18.0%","22.1%","20.9%","19.5%","22.2%","20.2%","18.2%","22.1%","20.1%","18.2%","21.8%","19.7%","17.9%","21.6%","21.3%","19.5%","23.1%","19.8%","18.1%","21.4%","22.1%","20.7%","23.4%","22.7%","20.6%","24.7%","21.7%","19.8%","23.5%","21.4%","19.6%","23.1%","21.0%","19.5%","22.5%","20.7%","19.0%","22.4%","16.1%","14.7%","17.5%","14.0%","13.0%","15.1%","23.7%","22.4%","25.1%","19.1%","17.4%","20.6%","19.7%","18.3%","21.1%","24.2%","22.4%","26.1%","20.9%","19.3%","22.5%","19.9%","18.8%","21.0%","22.5%","20.5%","24.3%"
"    62 years and over","18.5%","16.7%","20.2%","11.9%","11.6%","12.3%","18.8%","17.4%","20.1%","18.7%","17.0%","20.5%","15.5%","13.9%","17.1%","15.6%","14.2%","17.0%","18.6%","16.7%","20.5%","19.7%","18.5%","20.9%","14.3%","12.9%","15.5%","22.2%","20.5%","23.9%","15.0%","13.5%","16.5%","19.0%","17.1%","21.0%","17.1%","16.2%","18.2%","16.7%","15.0%","18.4%","17.3%","15.6%","18.9%","19.0%","17.2%","20.7%","17.3%","15.4%","19.1%","18.0%","16.4%","19.7%","16.4%","14.8%","17.9%","22.0%","20.6%","23.4%","16.7%","15.0%","18.4%","18.2%","16.3%","20.0%","18.6%","16.9%","20.3%","17.3%","15.9%","18.7%","17.3%","15.5%","19.0%","18.5%","16.7%","20.2%","20.1%","19.4%","20.8%","17.4%","15.8%","19.0%","17.0%","15.9%","18.2%","19.2%","17.9%","20.4%","17.7%","15.6%","19.8%","18.3%","17.0%","19.5%","17.7%","15.8%","19.6%","17.7%","15.9%","19.3%","17.2%","15.3%","19.1%","18.7%","16.8%","20.5%","17.5%","15.8%","19.0%","19.2%","17.8%","20.6%","20.0%","17.8%","22.0%","19.1%","17.1%","20.9%","18.8%","17.2%","20.4%","18.2%","16.8%","19.6%","18.2%","16.6%","19.8%","14.0%","12.7%","15.3%","12.2%","11.1%","13.2%","20.6%","19.2%","22.0%","16.7%","15.2%","18.3%","17.1%","15.8%","18.4%","21.3%","19.6%","23.0%","18.3%","16.6%","19.9%","17.2%","15.9%","18.5%","20.1%","18.3%","21.8%"
"    65 years and over","14.9%","13.2%","16.6%","8.9%","8.5%","9.4%","15.4%","14.2%","16.5%","15.3%","13.7%","16.9%","12.5%","11.1%","13.9%","12.2%","11.0%","13.5%","15.1%","13.3%","16.9%","15.9%","14.6%","17.1%","11.4%","9.9%","12.9%","18.6%","17.1%","20.1%","11.9%","10.5%","13.2%","15.7%","13.8%","17.6%","13.8%","12.8%","14.8%","13.5%","11.8%","15.2%","13.9%","12.3%","15.5%","15.5%","13.7%","17.3%","14.0%","12.3%","15.8%","14.5%","12.8%","16.1%","13.1%","11.7%","14.5%","17.8%","16.3%","19.1%","13.4%","11.8%","14.9%","14.8%","13.0%","16.5%","15.0%","13.5%","16.5%","13.9%","12.4%","15.4%","13.9%","12.2%","15.5%","15.0%","13.4%","16.6%","16.3%","15.3%","17.2%","14.2%","12.6%","15.7%","13.6%","12.8%","14.6%","15.3%","13.9%","16.7%","14.4%","12.5%","16.3%","14.7%","13.6%","15.8%","14.4%","12.5%","16.2%","14.3%","12.7%","15.8%","14.2%","12.4%","16.1%","15.1%","13.3%","16.9%","14.2%","12.7%","15.7%","15.4%","14.1%","16.7%","16.4%","14.3%","18.3%","15.5%","13.4%","17.4%","15.2%","13.7%","16.6%","14.7%","13.1%","16.3%","14.6%","13.1%","16.1%","11.2%","10.0%","12.4%","9.7%","8.9%","10.6%","16.4%","15.1%","17.6%","13.4%","11.9%","14.8%","13.6%","12.4%","14.9%","17.3%","15.6%","18.9%","14.8%","13.2%","16.3%","13.3%","12.3%","14.4%","16.6%","15.0%","18.0%"
"    75 years and over","6.2%","5.0%","7.4%","3.1%","2.6%","3.5%","6.5%","5.8%","7.2%","6.5%","5.4%","7.6%","5.5%","4.5%","6.4%","5.0%","4.0%","5.9%","7.0%","5.5%","8.4%","6.6%","5.7%","7.4%","5.1%","4.0%","6.1%","8.5%","7.4%","9.5%","4.6%","3.7%","5.6%","7.1%","5.6%","8.6%","5.7%","4.9%","6.5%","6.0%","4.8%","7.3%","6.1%","4.8%","7.3%","7.5%","5.9%","9.0%","6.5%","5.2%","7.9%","6.0%","4.8%","7.3%","5.5%","4.4%","6.6%","7.7%","6.5%","9.0%","5.7%","4.6%","6.8%","6.7%","5.3%","8.1%","6.6%","5.3%","7.8%","6.3%","5.1%","7.5%","5.8%","4.6%","7.0%","6.6%","5.4%","7.8%","6.9%","5.9%","8.0%","6.7%","5.4%","8.0%","5.2%","4.6%","5.8%","6.5%","5.3%","7.6%","6.5%","5.1%","7.9%","6.1%","5.3%","6.9%","6.6%","5.2%","7.8%","5.9%","4.7%","7.0%","7.1%","5.5%","8.7%","6.8%","5.4%","8.1%","6.1%","5.1%","7.1%","6.4%","5.4%","7.4%","7.7%","6.1%","9.2%","7.3%","5.6%","8.9%","6.0%","4.9%","7.0%","7.1%","5.7%","8.5%","6.0%","4.8%","7.1%","4.6%","3.7%","5.5%","4.1%","3.5%","4.7%","6.8%","5.7%","8.0%","5.5%","4.4%","6.5%","5.7%","4.7%","6.6%","7.4%","5.9%","8.8%","6.7%","5.4%","8.0%","5.3%","4.4%","6.3%","7.0%","6.0%","7.9%"
"SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Median age (years)","38.3","36.8","39.6","33.1","32.6","33.7","36.8","35.6","38.1","37.8","36.2","39.4","35.7","34.6","36.9","36.4","35.4","37.4","40.5","38.8","41.8","39.1","37.7","40.3","33.8","33.6","33.9","41.5","40.0","43.0","35.9","34.6","37.2","38.1","36.2","40.0","35.7","34.7","36.9","37.2","35.9","38.5","37.3","36.1","38.5","38.0","36.9","39.3","36.0","34.7","37.4","38.5","37.1","39.9","36.0","34.9","37.2","44.0","42.8","45.1","38.2","36.6","39.6","39.4","37.8","40.8","39.6","38.1","40.9","37.7","36.7","38.8","36.6","35.1","38.1","38.1","36.7","39.6","39.6","38.7","40.5","36.3","35.3","37.5","37.1","36.4","37.8","42.3","41.6","43.0","39.4","37.9","41.0","36.9","35.6","38.3","38.2","36.5","39.8","37.9","36.3","39.5","35.5","34.0","36.9","39.3","37.8","40.8","36.2","35.0","37.6","39.1","37.8","40.2","40.6","39.0","42.0","39.9","37.9","41.8","38.6","37.1","40.0","36.6","35.5","38.0","38.5","36.9","39.8","34.0","33.0","35.1","30.2","29.6","30.7","42.5","41.4","43.6","37.6","36.3","38.9","37.4","36.4","38.5","41.7","40.4","43.0","39.0","37.8","40.2","36.6","35.9","37.4","38.6","36.7","40.3"
"    Sex ratio (males per 100 females)","94.0","(X)","(X)","110.8","(X)","(X)","99.1","(X)","(X)","97.6","(X)","(X)","99.0","(X)","(X)","100.9","(X)","(X)","95.0","(X)","(X)","93.7","(X)","(X)","90.0","(X)","(X)","95.8","(X)","(X)","95.4","(X)","(X)","102.6","(X)","(X)","101.2","(X)","(X)","96.5","(X)","(X)","96.6","(X)","(X)","97.9","(X)","(X)","99.1","(X)","(X)","96.9","(X)","(X)","95.2","(X)","(X)","95.8","(X)","(X)","94.2","(X)","(X)","94.2","(X)","(X)","96.4","(X)","(X)","98.6","(X)","(X)","94.2","(X)","(X)","96.0","(X)","(X)","99.8","(X)","(X)","98.1","(X)","(X)","101.2","(X)","(X)","97.3","(X)","(X)","95.3","(X)","(X)","98.4","(X)","(X)","94.3","(X)","(X)","94.9","(X)","(X)","104.2","(X)","(X)","95.7","(X)","(X)","98.1","(X)","(X)","98.1","(X)","(X)","95.6","(X)","(X)","95.3","(X)","(X)","94.6","(X)","(X)","100.8","(X)","(X)","95.6","(X)","(X)","98.8","(X)","(X)","101.2","(X)","(X)","97.1","(X)","(X)","96.7","(X)","(X)","99.4","(X)","(X)","97.8","(X)","(X)","98.9","(X)","(X)","104.3","(X)","(X)","91.7","(X)","(X)"
"    Age dependency ratio","61.0","(X)","(X)","52.8","(X)","(X)","66.0","(X)","(X)","64.9","(X)","(X)","57.3","(X)","(X)","55.8","(X)","(X)","58.7","(X)","(X)","61.0","(X)","(X)","40.2","(X)","(X)","64.6","(X)","(X)","58.3","(X)","(X)","60.1","(X)","(X)","67.6","(X)","(X)","58.6","(X)","(X)","61.5","(X)","(X)","63.7","(X)","(X)","63.8","(X)","(X)","60.1","(X)","(X)","59.2","(X)","(X)","59.7","(X)","(X)","56.4","(X)","(X)","55.3","(X)","(X)","60.5","(X)","(X)","60.2","(X)","(X)","62.6","(X)","(X)","61.7","(X)","(X)","62.2","(X)","(X)","63.9","(X)","(X)","59.7","(X)","(X)","55.8","(X)","(X)","59.1","(X)","(X)","64.2","(X)","(X)","56.2","(X)","(X)","59.9","(X)","(X)","57.2","(X)","(X)","61.4","(X)","(X)","63.5","(X)","(X)","59.4","(X)","(X)","60.3","(X)","(X)","55.6","(X)","(X)","60.7","(X)","(X)","65.0","(X)","(X)","60.2","(X)","(X)","60.9","(X)","(X)","68.5","(X)","(X)","56.7","(X)","(X)","56.1","(X)","(X)","57.6","(X)","(X)","61.0","(X)","(X)","60.0","(X)","(X)","59.5","(X)","(X)","64.2","(X)","(X)"
"    Old-Age dependency ratio","24.0","(X)","(X)","13.6","(X)","(X)","25.5","(X)","(X)","25.3","(X)","(X)","19.7","(X)","(X)","19.1","(X)","(X)","24.0","(X)","(X)","25.6","(X)","(X)","16.0","(X)","(X)","30.7","(X)","(X)","18.9","(X)","(X)","25.1","(X)","(X)","23.2","(X)","(X)","21.4","(X)","(X)","22.5","(X)","(X)","25.4","(X)","(X)","23.0","(X)","(X)","23.2","(X)","(X)","20.9","(X)","(X)","28.4","(X)","(X)","20.9","(X)","(X)","23.0","(X)","(X)","24.1","(X)","(X)","22.3","(X)","(X)","22.5","(X)","(X)","24.3","(X)","(X)","26.4","(X)","(X)","23.2","(X)","(X)","21.8","(X)","(X)","23.9","(X)","(X)","23.0","(X)","(X)","24.2","(X)","(X)","22.5","(X)","(X)","22.8","(X)","(X)","22.3","(X)","(X)","24.4","(X)","(X)","23.3","(X)","(X)","24.5","(X)","(X)","26.2","(X)","(X)","24.1","(X)","(X)","24.4","(X)","(X)","24.3","(X)","(X)","23.4","(X)","(X)","18.0","(X)","(X)","16.4","(X)","(X)","25.7","(X)","(X)","20.9","(X)","(X)","21.5","(X)","(X)","27.8","(X)","(X)","23.7","(X)","(X)","21.2","(X)","(X)","27.2","(X)","(X)"
"    Child dependency ratio","37.0","(X)","(X)","39.1","(X)","(X)","40.5","(X)","(X)","39.7","(X)","(X)","37.7","(X)","(X)","36.7","(X)","(X)","34.7","(X)","(X)","35.4","(X)","(X)","24.2","(X)","(X)","33.9","(X)","(X)","39.5","(X)","(X)","35.0","(X)","(X)","44.4","(X)","(X)","37.2","(X)","(X)","39.0","(X)","(X)","38.3","(X)","(X)","40.8","(X)","(X)","37.0","(X)","(X)","38.3","(X)","(X)","31.3","(X)","(X)","35.5","(X)","(X)","32.3","(X)","(X)","36.4","(X)","(X)","37.9","(X)","(X)","40.1","(X)","(X)","37.4","(X)","(X)","35.8","(X)","(X)","40.7","(X)","(X)","37.9","(X)","(X)","31.9","(X)","(X)","36.2","(X)","(X)","40.0","(X)","(X)","33.7","(X)","(X)","37.1","(X)","(X)","34.9","(X)","(X)","36.9","(X)","(X)","40.3","(X)","(X)","34.9","(X)","(X)","34.1","(X)","(X)","31.5","(X)","(X)","36.3","(X)","(X)","40.7","(X)","(X)","36.8","(X)","(X)","42.8","(X)","(X)","52.1","(X)","(X)","31.0","(X)","(X)","35.2","(X)","(X)","36.1","(X)","(X)","33.2","(X)","(X)","36.4","(X)","(X)","38.3","(X)","(X)","37.0","(X)","(X)"
"PERCENT IMPUTED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Sex","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.0%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.2%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.0%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.0%","(X)","(X)","0.1%","(X)","(X)","0.0%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.0%","(X)","(X)","0.0%","(X)","(X)","0.0%","(X)","(X)","0.1%","(X)","(X)","0.0%","(X)","(X)","0.0%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.0%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.0%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)","0.0%","(X)","(X)","0.0%","(X)","(X)","0.0%","(X)","(X)","0.1%","(X)","(X)","0.1%","(X)","(X)"
"    Age","1.8%","(X)","(X)","2.1%","(X)","(X)","1.4%","(X)","(X)","1.6%","(X)","(X)","1.8%","(X)","(X)","1.6%","(X)","(X)","1.6%","(X)","(X)","1.9%","(X)","(X)","1.9%","(X)","(X)","2.3%","(X)","(X)","1.9%","(X)","(X)","2.5%","(X)","(X)","1.6%","(X)","(X)","1.4%","(X)","(X)","1.3%","(X)","(X)","1.1%","(X)","(X)","1.1%","(X)","(X)","1.1%","(X)","(X)","1.5%","(X)","(X)","1.1%","(X)","(X)","1.7%","(X)","(X)","1.5%","(X)","(X)","1.3%","(X)","(X)","1.0%","(X)","(X)","1.3%","(X)","(X)","1.2%","(X)","(X)","1.6%","(X)","(X)","1.7%","(X)","(X)","1.7%","(X)","(X)","1.4%","(X)","(X)","1.6%","(X)","(X)","1.7%","(X)","(X)","2.0%","(X)","(X)","1.1%","(X)","(X)","1.1%","(X)","(X)","1.3%","(X)","(X)","1.4%","(X)","(X)","1.7%","(X)","(X)","1.2%","(X)","(X)","2.1%","(X)","(X)","1.5%","(X)","(X)","1.3%","(X)","(X)","1.2%","(X)","(X)","1.2%","(X)","(X)","1.9%","(X)","(X)","1.3%","(X)","(X)","1.7%","(X)","(X)","1.5%","(X)","(X)","1.1%","(X)","(X)","1.1%","(X)","(X)","1.9%","(X)","(X)","1.5%","(X)","(X)"
