"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"            Bachelor's degree","46,396","±3,200","7,071","±1,149","76,320","±3,948","26,613","±2,736","536,124","±10,049","95,875","±4,108","47,990","±3,500","8,924","±1,573","12,694","±1,892","221,437","±7,401","125,044","±6,106","21,289","±2,098","21,780","±2,131","175,721","±5,844","74,980","±4,271","39,423","±2,938","39,103","±2,541","42,574","±2,986","38,737","±2,888","13,272","±1,721","75,796","±4,131","101,805","±4,601","103,964","±4,028","80,773","±3,914","20,124","±2,104","65,338","±3,967","12,737","±1,681","25,755","±2,158","27,795","±2,539","16,089","±1,830","135,270","±4,935","18,052","±2,570","260,584","±7,681","128,160","±5,276","11,313","±1,452","128,463","±5,071","39,342","±2,805","53,951","±3,209","157,786","±5,022","12,731","±1,732","52,248","±3,652","8,733","±1,386","69,782","±3,915","335,734","±9,665","44,520","±3,146","7,140","±1,012","118,312","±4,754","103,813","±4,356","15,978","±1,741","70,048","±3,982","6,158","±1,399","33,861","±3,173"
"            Graduate or professional degree","26,521","±2,638","5,093","±1,042","43,371","±3,050","13,552","±2,007","335,282","±8,247","53,389","±3,373","34,891","±2,504","7,153","±1,281","17,942","±1,649","119,027","±7,221","76,463","±4,236","6,600","±1,129","11,744","±1,533","109,495","±4,439","34,758","±3,125","18,871","±1,929","21,339","±2,065","25,224","±2,375","22,111","±2,653","7,597","±1,334","74,787","±3,271","83,248","±4,163","66,091","±3,165","46,342","±2,693","12,734","±1,911","42,437","±3,093","6,351","±1,095","12,472","±1,583","14,534","±1,911","9,297","±1,482","94,475","±3,956","11,160","±1,314","181,289","±5,793","71,161","±3,777","3,199","±794","74,672","±3,694","16,949","±1,802","36,989","±2,706","91,493","±3,961","8,098","±1,324","27,038","±2,680","4,279","±932","34,108","±2,577","197,363","±7,378","31,713","±2,516","5,151","±963","93,809","±4,392","64,840","±3,598","8,396","±1,370","32,553","±2,275","3,658","±948","14,056","±2,231"
"        45 to 64 years:","618,645","±4,140","99,845","±2,110","814,862","±2,331","368,177","±3,073","4,862,671","±3,845","703,409","±3,141","498,115","±1,645","121,777","±1,121","72,190","±552","2,643,729","±5,584","1,269,829","±5,628","179,544","±1,144","199,760","±2,435","1,651,625","±3,323","850,196","±3,104","404,101","±2,496","355,362","±2,534","576,751","±2,831","575,998","±4,239","194,484","±1,388","786,581","±2,519","907,003","±2,290","1,344,768","±2,936","730,423","±2,571","360,269","±4,129","784,380","±3,594","139,416","±1,717","234,723","±2,001","377,236","±1,924","202,648","±1,679","1,207,535","±1,840","251,384","±2,762","2,545,513","±3,178","1,292,284","±5,244","94,104","±1,419","1,542,593","±4,243","474,494","±2,574","520,686","±2,760","1,736,620","±3,693","140,293","±941","617,854","±4,653","108,465","±1,279","846,425","±3,194","3,244,914","±7,334","302,666","±1,978","89,806","±852","1,090,769","±4,866","940,278","±3,042","250,129","±1,927","788,433","±2,675","77,921","±1,856","402,999","±3,081"
"            Less than 9th grade","30,345","±2,899","2,068","±728","50,059","±3,585","18,743","±2,341","537,511","±11,745","25,450","±2,590","15,366","±2,176","3,268","±887","3,228","±826","129,244","±7,418","60,165","±4,173","4,616","±1,005","7,774","±1,771","80,371","±4,685","28,957","±2,623","13,140","±1,746","11,901","±1,593","33,745","±3,446","32,397","±3,591","4,457","±1,010","29,882","±2,445","37,849","±3,389","35,611","±2,622","15,467","±2,047","21,227","±2,336","22,534","±2,207","2,816","±745","9,561","±1,418","25,410","±2,323","4,240","±1,103","51,679","±3,556","16,963","±2,018","150,446","±5,372","56,233","±4,020","1,213","±381","34,601","±2,665","19,926","±1,843","19,524","±2,468","47,340","±3,279","5,946","±1,247","25,289","±2,428","3,008","±750","40,921","±3,132","310,271","±7,746","9,180","±1,610","1,460","±496","47,423","±3,705","37,569","±2,918","11,228","±1,521","18,026","±1,646","471","±277","59,724","±4,347"
"            9th to 12th grade, no diploma","71,616","±4,396","4,949","±888","60,610","±4,050","37,343","±2,808","413,888","±10,950","33,275","±2,738","27,409","±2,599","9,124","±1,617","4,614","±1,066","220,402","±7,834","112,909","±5,554","8,517","±1,410","11,708","±1,742","111,259","±5,244","66,907","±4,177","21,959","±1,645","23,069","±2,218","57,712","±3,751","70,538","±4,976","13,329","±2,248","51,443","±3,439","49,060","±3,597","94,698","±4,173","30,752","±2,515","45,264","±2,899","60,974","±3,829","7,342","±1,329","12,427","±1,743","28,375","±2,849","11,943","±1,697","70,658","±4,123","19,431","±2,218","199,118","±6,921","115,508","±5,247","5,096","±911","111,303","±5,480","38,673","±2,351","35,288","±3,229","115,519","±4,197","10,849","±1,777","58,549","±4,375","5,701","±1,212","80,440","±3,797","283,094","±8,206","18,733","±1,913","6,300","±1,252","83,148","±4,430","49,708","±4,430","29,213","±2,582","48,234","±3,284","4,572","±1,399","37,432","±3,195"
"            High school graduate (includes equivalency)","202,543","±5,808","30,482","±2,341","208,193","±7,209","140,787","±4,733","1,013,836","±16,666","170,665","±5,837","150,651","±4,693","42,762","±3,283","16,217","±1,805","808,429","±13,072","389,367","±9,951","54,374","±3,156","57,903","±3,597","461,837","±9,684","319,494","±6,302","145,673","±4,538","101,452","±4,128","214,493","±5,832","212,077","±5,849","72,703","±3,213","211,137","±5,640","263,923","±6,960","427,170","±6,521","206,539","±4,709","125,793","±5,868","274,363","±6,249","44,399","±2,225","70,472","±2,733","113,185","±4,715","59,768","±3,099","359,522","±9,110","75,518","±4,218","751,372","±12,503","373,272","±7,910","28,910","±1,970","576,755","±9,056","160,392","±4,518","130,857","±5,013","669,223","±9,489","45,727","±3,193","206,875","±6,655","36,788","±2,074","291,496","±6,578","846,624","±14,519","70,578","±4,013","32,128","±1,786","277,508","±8,007","218,647","±6,987","108,868","±3,735","270,984","±5,407","26,724","±2,285","128,551","±5,350"
"            Some college, no degree","127,865","±5,160","26,217","±2,477","195,240","±6,605","76,754","±4,024","1,027,464","±14,251","140,157","±4,937","83,154","±4,153","23,091","±2,310","11,151","±1,685","527,207","±11,687","243,823","±8,444","38,454","±2,475","48,572","±3,085","351,729","±8,445","164,648","±4,975","81,066","±4,029","75,540","±3,728","110,632","±5,032","116,318","±4,695","37,415","±2,729","145,942","±5,789","141,495","±5,374","313,317","±6,663","160,175","±4,695","74,573","±4,964","170,676","±5,092","32,521","±2,108","54,297","±2,215","98,960","±3,975","36,216","±2,639","203,654","±6,443","54,873","±3,913","422,975","±8,072","265,089","±8,358","23,008","±1,868","303,413","±7,908","106,376","±3,444","131,102","±5,536","280,412","±7,278","23,502","±2,683","121,199","±5,342","23,441","±1,984","168,402","±5,719","655,467","±11,705","78,944","±3,618","15,065","±1,495","197,603","±6,164","224,941","±7,199","39,776","±2,597","161,606","±4,778","18,900","±1,724","52,179","±3,119"
"            Associate's degree","41,583","±2,725","10,205","±2,129","65,295","±4,132","20,079","±2,331","338,734","±9,151","59,921","±3,828","34,234","±2,472","7,443","±1,194","2,099","±703","228,899","±7,903","88,015","±4,920","17,880","±1,722","18,629","±2,546","125,182","±5,453","67,304","±3,840","41,144","±2,392","25,301","±1,943","37,380","±2,883","26,785","±2,526","17,881","±2,200","48,081","±3,271","60,155","±4,412","116,623","±4,541","82,467","±2,981","27,568","±2,590","53,182","±3,957","12,406","±1,705","24,343","±2,007","27,578","±2,392","20,392","±2,089","67,690","±4,011","18,124","±2,220","214,695","±7,120","105,517","±5,235","13,861","±1,349","116,084","±5,098","37,099","±2,404","44,295","±3,322","131,534","±4,942","12,623","±1,821","49,803","±3,539","11,868","±1,277","54,837","±3,611","223,701","±7,513","26,497","±2,312","7,764","±1,104","66,978","±3,962","90,163","±4,049","14,231","±1,827","82,959","±3,483","8,182","±1,179","36,951","±2,733"
"            Bachelor's degree","91,956","±4,057","14,407","±1,697","144,113","±4,920","46,754","±3,049","921,449","±12,173","162,191","±5,389","105,265","±4,474","20,391","±2,446","13,621","±1,688","462,830","±9,857","230,086","±7,295","35,556","±2,622","33,970","±2,994","315,830","±8,346","129,495","±4,423","66,664","±3,069","74,022","±3,862","74,080","±4,039","78,023","±3,505","30,150","±2,579","155,468","±5,859","196,458","±6,085","214,492","±5,886","156,265","±4,423","43,302","±3,069","127,749","±5,025","26,414","±1,956","41,896","±2,441","53,882","±3,863","44,934","±2,607","268,809","±5,866","38,184","±2,649","460,642","±9,146","241,303","±6,910","15,138","±1,549","246,416","±5,709","73,306","±3,071","95,256","±4,691","296,231","±7,523","25,123","±2,143","106,732","±4,641","19,658","±1,670","136,767","±4,869","584,390","±12,000","59,102","±2,502","15,251","±1,582","223,490","±6,974","194,048","±5,728","27,948","±2,236","131,044","±3,957","10,992","±1,488","58,544","±3,487"
"            Graduate or professional degree","52,737","±3,250","11,517","±1,572","91,352","±3,894","27,717","±2,251","609,789","±10,481","111,750","±3,983","82,036","±3,748","15,698","±2,139","21,260","±1,827","266,718","±8,706","145,464","±5,571","20,147","±2,102","21,204","±2,033","205,417","±6,774","73,391","±3,926","34,455","±2,370","44,077","±2,869","48,709","±2,952","39,860","±2,627","18,549","±1,825","144,628","±5,416","158,063","±4,568","142,857","±4,209","78,758","±3,179","22,542","±2,197","74,902","±3,422","13,518","±1,682","21,727","±1,734","29,846","±2,533","25,155","±2,192","185,523","±5,541","28,291","±2,490","346,265","±8,201","135,362","±5,701","6,878","±1,077","154,021","±5,099","38,722","±2,574","64,364","±3,555","196,361","±5,627","16,523","±1,827","49,407","±3,120","8,001","±1,137","73,562","±4,394","341,367","±7,637","39,632","±2,811","11,838","±1,275","194,619","±5,986","125,202","±5,019","18,865","±2,590","75,580","±2,896","8,080","±1,195","29,618","±2,768"
"        65 years and over:","338,770","±2,089","37,737","±685","539,236","±909","215,607","±1,655","2,371,854","±2,140","339,794","±1,368","248,844","±711","73,929","±445","32,467","±420","1,839,806","±2,447","589,480","±2,925","110,038","±483","120,817","±1,203","811,520","±1,603","434,753","±1,829","227,947","±1,230","195,723","±1,371","303,409","±1,393","294,468","±1,925","116,423","±647","378,312","±1,430","463,436","±975","715,138","±1,500","373,937","±1,293","195,265","±1,494","430,358","±1,825","87,767","±646","127,682","±888","208,138","±943","103,323","±784","587,005","±1,240","156,095","±1,043","1,293,780","±1,777","684,988","±2,597","49,533","±437","822,082","±1,916","260,969","±1,299","314,742","±2,037","965,024","±1,816","74,550","±516","367,187","±1,394","62,165","±328","460,325","±1,842","1,488,306","±3,315","147,579","±998","51,633","±471","541,718","±2,793","491,452","±1,652","154,814","±1,057","419,230","±1,276","41,283","±495","280,287","*****"
"            Less than 9th grade","28,615","±2,320","1,416","±399","33,090","±2,499","20,029","±1,912","283,308","±6,770","13,045","±1,850","17,068","±1,558","2,874","±758","1,879","±697","128,918","±5,392","47,223","±3,177","6,753","±1,620","5,129","±1,067","65,315","±2,946","25,983","±2,383","12,048","±1,516","9,611","±1,284","37,338","±2,911","32,383","±2,524","6,937","±1,224","21,274","±2,150","35,878","±2,321","35,436","±2,556","18,507","±1,790","19,425","±2,198","25,496","±2,491","3,392","±728","6,744","±898","12,493","±1,718","5,860","±1,243","43,992","±2,624","15,827","±1,623","131,255","±4,401","50,885","±3,110","5,499","±900","41,436","±2,525","15,356","±1,626","11,717","±1,445","54,548","±3,444","7,394","±1,310","29,554","±2,810","4,550","±826","47,924","±3,202","188,663","±5,625","3,374","±833","2,962","±809","44,530","±3,177","19,879","±2,338","16,449","±1,889","20,289","±1,755","1,253","±426","94,223","±4,089"
"            9th to 12th grade, no diploma","34,043","±2,642","1,773","±594","29,740","±3,067","21,069","±1,950","145,392","±6,762","13,631","±1,525","17,864","±1,856","6,660","±1,042","2,724","±606","131,552","±6,308","57,944","±3,608","7,226","±1,379","7,228","±1,223","67,525","±2,963","40,699","±2,175","14,831","±1,401","9,225","±1,154","28,673","±2,583","28,832","±2,644","6,954","±1,290","28,386","±2,433","30,451","±2,282","56,326","±2,873","19,709","±1,674","24,688","±2,301","32,793","±2,233","5,257","±917","6,906","±1,003","12,231","±1,482","5,804","±868","49,847","±3,517","11,519","±1,552","114,471","±3,709","71,453","±3,678","3,123","±633","78,260","±3,541","21,255","±1,886","17,254","±1,955","88,499","±3,814","5,868","±1,119","31,516","±2,706","4,385","±888","43,993","±2,431","109,495","±5,741","6,443","±1,096","2,713","±488","41,221","±2,590","23,111","±2,575","17,835","±1,938","30,322","±2,069","2,287","±578","37,962","±3,051"
"            High school graduate (includes equivalency)","104,715","±3,985","8,344","±1,098","114,844","±4,000","71,132","±2,988","427,832","±10,075","67,269","±2,974","69,669","±2,972","21,974","±1,878","6,660","±1,015","478,107","±8,416","164,765","±5,029","30,923","±2,289","33,152","±2,630","235,606","±5,995","157,590","±4,176","89,043","±2,699","61,774","±2,816","100,528","±3,622","93,839","±4,082","38,804","±2,337","96,792","±3,739","117,033","±3,622","219,222","±4,381","116,001","±3,193","58,250","±2,759","143,088","±4,240","24,627","±1,800","42,987","±1,753","51,635","±3,182","27,060","±1,839","164,984","±4,751","37,704","±2,549","353,988","±8,113","186,466","±5,724","15,758","±1,123","290,283","±5,852","78,724","±3,033","73,279","±3,891","364,382","±6,503","20,018","±1,927","99,635","±3,660","21,842","±1,640","137,943","±4,834","330,668","±8,777","28,032","±2,076","16,033","±1,251","131,103","±4,997","106,725","±4,036","57,723","±2,883","150,258","±3,442","11,615","±1,271","72,481","±3,534"
"            Some college, no degree","63,689","±3,378","11,136","±1,099","133,658","±4,693","46,359","±2,628","469,172","±9,223","73,340","±2,843","35,908","±2,213","13,391","±1,558","4,403","±967","358,709","±8,694","108,914","±4,828","21,039","±1,651","30,117","±2,462","157,543","±5,059","86,889","±3,607","42,504","±2,236","42,557","±2,521","55,823","±2,912","57,130","±3,479","19,735","±1,853","59,936","±3,378","66,028","±3,848","154,724","±4,267","75,002","±2,455","37,280","±2,345","89,057","±4,130","20,297","±1,478","26,173","±1,661","54,330","±3,125","16,790","±1,848","88,122","±4,653","28,909","±2,263","188,732","±5,698","130,392","±4,526","9,711","±1,053","156,567","±4,923","59,099","±2,323","80,578","±3,831","136,526","±3,966","10,648","±1,194","69,715","±3,684","11,901","±1,269","89,954","±4,268","303,516","±7,731","40,304","±2,134","6,520","±889","91,883","±3,678","112,143","±4,371","26,667","±2,130","77,562","±3,077","9,739","±1,269","20,757","±1,873"
"            Associate's degree","16,881","±1,692","2,207","±631","40,998","±3,042","8,907","±1,304","177,915","±5,824","21,223","±1,539","13,435","±1,663","4,066","±750","1,048","±444","120,128","±5,782","32,634","±2,942","7,497","±1,162","8,028","±1,289","40,341","±2,489","21,488","±1,923","12,094","±1,211","9,529","±1,279","12,821","±1,428","9,132","±1,380","7,226","±898","17,033","±1,793","29,282","±2,046","43,971","±2,257","22,418","±1,886","9,420","±1,238","21,109","±1,790","4,389","±924","7,852","±1,104","15,062","±1,690","8,179","±1,201","23,804","±2,085","7,605","±1,331","79,119","±4,101","46,291","±3,098","3,572","±692","39,451","±2,275","13,903","±1,577","20,303","±1,825","45,672","±2,963","3,935","±799","26,174","±2,273","2,205","±628","21,774","±1,903","78,793","±4,457","9,157","±1,199","3,130","±726","27,842","±2,814","37,524","±2,634","6,287","±1,300","25,671","±1,978","3,140","±804","10,160","±1,362"
"            Bachelor's degree","50,865","±3,018","6,314","±1,159","99,633","±4,321","26,836","±2,176","458,940","±8,274","76,495","±3,219","43,430","±2,159","13,558","±1,443","4,506","±854","334,310","±8,418","97,701","±4,199","19,875","±1,694","21,544","±2,148","129,173","±4,464","49,442","±2,993","32,009","±1,957","34,162","±2,014","35,764","±2,715","40,336","±2,523","18,973","±1,784","67,596","±3,466","84,861","±3,651","104,118","±3,733","68,519","±3,180","24,634","±1,907","63,122","±2,838","17,533","±1,635","19,822","±1,362","34,264","±2,573","18,740","±1,735","111,473","±3,832","26,197","±2,017","196,376","±5,758","112,366","±3,778","7,904","±871","118,466","±4,143","40,321","±2,111","59,167","±3,159","139,986","±4,286","13,754","±1,568","60,078","±2,967","9,505","±1,131","65,934","±3,506","271,971","±6,868","30,771","±1,720","9,753","±1,074","93,874","±4,267","105,202","±4,183","16,036","±1,678","62,268","±2,983","7,082","±1,312","27,369","±2,467"
"            Graduate or professional degree","39,962","±2,751","6,547","±1,024","87,273","±3,781","21,275","±1,842","409,295","±9,126","74,791","±2,946","51,470","±2,843","11,406","±1,410","11,247","±1,006","288,082","±6,986","80,299","±4,255","16,725","±1,441","15,619","±1,659","116,017","±3,885","52,662","±2,809","25,418","±1,830","28,865","±1,705","32,462","±2,385","32,816","±2,422","17,794","±1,522","87,295","±3,172","99,903","±3,023","101,341","±3,499","53,781","±2,832","21,568","±1,834","55,693","±2,803","12,272","±1,404","17,198","±1,568","28,123","±2,008","20,890","±1,894","104,783","±4,496","28,334","±1,792","229,839","±5,312","87,135","±3,971","3,966","±734","97,619","±3,683","32,311","±2,061","52,444","±2,825","135,411","±4,200","12,933","±1,219","50,515","±3,442","7,777","±1,209","52,803","±3,146","205,200","±5,796","29,498","±2,186","10,522","±1,046","111,265","±3,749","86,868","±3,366","13,817","±1,439","52,860","±2,458","6,167","±1,028","17,335","±2,109"
"    Female:","1,972,970","±3,009","263,300","±1,698","2,688,224","±1,260","1,176,284","±2,462","15,308,482","±3,131","2,139,240","±2,107","1,463,900","±1,409","391,146","±619","297,660","±405","8,515,351","±3,918","4,063,789","±4,564","561,259","±803","629,841","±1,903","5,081,824","±3,291","2,597,506","±3,113","1,224,707","±2,254","1,111,187","±2,497","1,762,835","±2,954","1,845,242","±2,603","556,016","±1,210","2,442,110","±1,945","2,831,558","±1,441","3,973,564","±2,052","2,144,277","±2,363","1,190,185","±2,504","2,422,753","±2,687","407,202","±1,953","724,669","±1,696","1,135,584","±1,349","545,472","±1,424","3,604,649","±1,133","811,108","±1,557","8,119,421","±3,019","4,093,519","±4,122","284,152","±1,602","4,645,694","±3,053","1,513,456","±1,711","1,643,287","±2,650","5,216,653","±2,653","442,938","±923","2,017,430","±2,037","326,809","±1,710","2,674,585","±2,952","10,463,550","±5,062","1,065,551","±2,013","259,136","±1,237","3,363,583","±3,284","2,852,349","±2,311","744,302","±1,521","2,277,812","±2,145","218,503","±1,360","1,448,547","*****"
"        18 to 24 years:","232,302","±3,843","31,699","±1,309","324,866","±1,836","139,477","±2,228","1,864,143","±3,525","255,679","±2,487","171,639","±1,385","42,205","±901","44,231","±348","857,611","±5,269","492,025","±4,399","59,043","±906","77,377","±2,075","595,656","±3,150","322,295","±3,502","157,413","±2,444","140,979","±2,166","208,265","±1,928","221,487","±3,419","53,176","±870","269,062","±2,773","354,656","±2,053","474,976","±2,276","248,783","±2,034","150,741","±2,930","280,710","±3,120","49,332","±1,809","92,868","±1,285","123,351","±1,539","61,659","±1,246","381,160","±1,475","96,697","±2,399","950,729","±2,873","472,688","±4,752","41,583","±1,344","529,961","±2,772","186,552","±2,309","180,573","±2,099","584,628","±2,607","57,035","±939","229,370","±2,971","41,021","±1,428","305,669","±3,055","1,347,315","±6,249","169,213","±2,038","32,202","±840","397,138","±4,025","318,231","±3,003","77,543","±1,498","275,031","±2,120","25,583","±1,197","170,098","±2,021"
"            Less than 9th grade","2,984","±932","236","±185","2,982","±802","2,545","±1,062","23,434","±2,701","1,618","±588","1,268","±574","153","±148","147","±140","9,000","±1,761","8,167","±1,941","456","±310","384","±243","4,091","±910","4,877","±920","1,898","±540","1,428","±567","3,291","±1,145","4,130","±1,127","256","±220","2,960","±752","3,420","±1,215","5,520","±1,336","2,605","±774","1,233","±610","2,864","±804","418","±315","1,399","±547","957","±425","449","±317","5,326","±1,305","812","±441","12,857","±1,694","4,641","±1,266","223","±176","9,235","±1,270","2,932","±759","2,280","±923","6,644","±1,082","898","±745","2,263","±752","319","±199","2,617","±1,015","19,377","±2,685","957","±488","87","±85","4,789","±1,279","5,614","±1,311","362","±325","4,118","±927","61","±109","2,338","±804"
"            9th to 12th grade, no diploma","24,434","±2,901","3,527","±852","39,980","±3,490","17,148","±2,187","162,556","±5,857","26,675","±2,486","13,011","±2,024","5,415","±1,334","2,380","±837","99,389","±5,189","61,420","±4,875","3,720","±1,110","7,601","±1,490","57,777","±3,494","40,380","±3,710","11,883","±1,599","14,898","±2,025","22,803","±2,797","25,151","±2,976","4,747","±1,152","22,660","±2,972","29,315","±2,781","47,146","±2,955","23,339","±2,471","18,371","±2,671","26,932","±2,769","3,847","±899","7,342","±1,090","18,906","±2,223","4,965","±1,046","34,110","±2,643","12,871","±1,873","84,666","±5,184","49,785","±4,482","2,631","±854","53,320","±3,841","23,158","±2,112","18,376","±2,320","51,844","±3,293","3,488","±1,038","24,256","±2,750","4,128","±823","28,953","±3,188","161,556","±6,979","16,915","±2,383","1,873","±675","32,211","±3,266","39,083","±3,790","8,112","±1,610","22,046","±2,253","3,565","±901","11,018","±2,148"
"            High school graduate (includes equivalency)","68,627","±4,513","11,273","±1,255","97,887","±4,929","41,679","±3,152","495,348","±11,021","72,894","±3,749","43,417","±3,149","12,903","±1,528","11,581","±1,855","238,150","±7,077","146,050","±7,601","21,234","±2,336","23,442","±2,805","151,697","±6,063","94,806","±4,555","37,307","±2,693","35,626","±3,020","57,596","±3,754","71,555","±5,182","16,503","±1,827","70,226","±4,074","85,383","±4,214","129,494","±4,597","57,001","±3,321","38,346","±3,551","74,134","±3,924","15,725","±2,264","23,072","±2,170","41,176","±2,706","18,024","±1,986","96,495","±4,065","27,878","±2,744","228,102","±6,477","127,665","±6,728","11,058","±1,657","154,686","±5,878","58,214","±3,160","48,348","±3,685","180,673","±6,678","15,865","±1,618","64,267","±3,878","10,872","±1,704","95,144","±4,850","397,949","±11,759","45,050","±3,553","9,776","±1,314","109,462","±5,284","83,786","±4,253","23,042","±2,580","77,387","±3,589","7,775","±1,370","38,422","±2,443"
"            Some college, no degree","104,271","±4,660","11,626","±1,329","137,943","±5,726","58,252","±3,429","866,215","±13,696","104,287","±4,972","77,761","±3,776","16,561","±1,657","16,562","±2,163","328,446","±10,513","200,405","±6,908","20,389","±1,985","33,906","±2,484","246,601","±6,532","134,993","±5,319","71,464","±3,491","61,913","±3,885","93,688","±4,507","96,240","±5,269","22,876","±1,783","109,292","±5,582","151,123","±4,394","214,303","±5,907","105,283","±4,192","69,658","±4,076","124,065","±5,017","22,010","±2,529","46,007","±2,633","48,459","±2,913","25,347","±2,041","151,685","±4,536","42,065","±3,182","379,072","±8,337","204,561","±7,806","18,710","±2,045","223,538","±6,661","77,549","±3,582","78,122","±4,195","235,117","±6,511","26,702","±2,082","102,528","±5,464","17,782","±1,646","128,080","±5,270","556,466","±10,940","78,316","±4,128","13,635","±1,530","168,133","±6,511","117,178","±5,541","34,705","±2,663","119,935","±4,556","10,681","±1,508","82,510","±3,690"
"            Associate's degree","13,010","±2,228","1,740","±688","16,852","±2,339","6,855","±1,696","100,545","±4,730","13,764","±2,132","8,256","±1,748","2,055","±722","1,143","±582","91,006","±6,847","21,596","±3,097","6,183","±1,192","6,480","±1,241","38,523","±3,376","11,938","±1,762","14,526","±2,071","10,106","±1,484","9,492","±1,418","5,772","±1,358","2,599","±1,065","16,230","±2,539","11,939","±1,931","25,793","±2,286","20,568","±1,928","12,028","±1,757","18,433","±2,445","2,302","±673","3,747","±880","5,921","±1,293","2,386","±732","22,651","±2,637","5,083","±1,354","66,274","±4,727","25,214","±2,933","3,032","±772","23,668","±2,423","10,372","±1,593","12,513","±2,092","26,798","±2,573","2,229","±855","11,391","±1,793","2,207","±677","15,240","±2,144","63,862","±3,813","13,186","±1,870","1,239","±540","23,063","±2,456","29,562","±2,543","2,893","±924","14,378","±1,594","1,555","±628","15,061","±2,488"
"            Bachelor's degree","17,956","±2,337","2,869","±744","27,675","±2,808","12,247","±1,887","200,036","±6,869","34,271","±3,565","25,653","±2,552","5,008","±1,045","11,265","±1,878","84,074","±5,307","49,560","±3,809","6,821","±1,257","5,404","±1,216","90,824","±3,880","33,298","±3,030","20,006","±2,248","15,803","±1,780","20,285","±2,819","17,477","±2,004","5,809","±1,276","43,449","±3,036","66,024","±3,721","49,233","±3,159","38,003","±2,589","9,688","±1,699","31,370","±2,788","4,678","±1,412","10,435","±1,467","7,439","±1,257","9,832","±1,551","64,744","±3,729","7,483","±1,678","157,960","±5,866","57,780","±4,090","5,593","±1,189","61,153","±3,987","13,196","±1,590","19,392","±2,451","76,875","±3,962","7,397","±1,478","23,105","±2,561","5,367","±1,102","33,149","±2,797","135,117","±6,481","14,123","±1,853","5,094","±1,139","52,643","±3,611","39,623","±3,401","7,743","±1,565","35,154","±2,997","1,946","±619","20,293","±2,309"
"            Graduate or professional degree","1,020","±471","428","±464","1,547","±552","751","±516","16,009","±1,751","2,170","±788","2,273","±775","110","±105","1,153","±601","7,546","±1,608","4,827","±1,576","240","±223","160","±200","6,143","±1,119","2,003","±673","329","±204","1,205","±445","1,110","±466","1,162","±510","386","±370","4,245","±1,079","7,452","±1,448","3,487","±907","1,984","±688","1,417","±712","2,912","±690","352","±307","866","±398","493","±278","656","±365","6,149","±1,172","505","±357","21,798","±2,271","3,042","±1,014","336","±269","4,361","±1,018","1,131","±603","1,542","±547","6,677","±1,337","456","±380","1,560","±625","346","±320","2,486","±925","12,988","±2,449","666","±294","498","±352","6,837","±1,838","3,385","±952","686","±425","2,013","±680","0","±197","456","±346"
