,state,year,abortion_occurrences
361,Idaho,2018,1257
362,Illinois,2018,42441
363,Indiana,2018,8037
364,Iowa,2018,2849
365,Kansas,2018,6972
366,Kentucky,2018,3203
367,Louisiana,2018,8097
368,Maine,2018,1949
369,Maryland,2018,18256
370,Massachusetts,2018,26716
371,Michigan,2018,9910
372,Minnesota,2018,3005
373,Mississippi,2018,14788
374,Missouri,2018,2910
375,Montana,2018,1674
376,Nebraska,2018,2078
377,Nevada,2018,8819
378,New Hampshire,2018,22936
379,New Jersey,2018,3847
380,New Mexico,2018,77447
381,New York,2018,13748
382,North Carolina,2018,27581
383,North Dakota,2018,1141
384,Ohio,2018,20425
385,Oklahoma,2018,4990
386,Oregon,2018,8735
387,Pennsylvania,2018,30364
388,Rhode Island,2018,2817
389,South Carolina,2018,4646
390,South Dakota,2018,382
391,Tennessee,2018,10880
392,Texas,2018,55140
393,Utah,2018,3082
394,Vermont,2018,1204
395,Virginia,2018,16474
396,Washington,2018,17264
397,West Virginia,2018,1507
398,Wisconsin,2018,6224
399,Wyoming,2018,678
400,Alabama,2019,6009
401,Alaska,2019,1270
402,Arizona,2019,13097
403,Arkansas,2019,2963
404,California,2019,7390
405,Colorado,2019,9002
406,Connecticut,2019,9202
407,Delaware,2019,2042
408,Florida,2019,71914
409,Georgia,2019,36907
410,Hawaii,2019,2003
411,Idaho,2019,1513
412,Illinois,2019,46517
413,Indiana,2019,7637
414,Iowa,2019,3566
415,Kansas,2019,6894
416,Kentucky,2019,3664
417,Louisiana,2019,8144
418,Maine,2019,2021
419,Maryland,2019,18593
420,Massachusetts,2019,14478
421,Michigan,2019,27339
422,Minnesota,2019,9940
423,Mississippi,2019,3194
424,Missouri,2019,1471
425,Montana,2019,1568
426,Nebraska,2019,16248
427,Nevada,2019,2068
428,New Hampshire,2019,8414
429,New Jersey,2019,22178
430,New Mexico,2019,3942
431,New York,2019,78587
432,North Carolina,2019,28450
433,North Dakota,2019,1121
434,Ohio,2019,20102
435,Oklahoma,2019,4995
436,Oregon,2019,8688
437,Pennsylvania,2019,31018
438,Rhode Island,2019,2099
439,South Carolina,2019,5101
440,South Dakota,2019,414
441,Tennessee,2019,9719
442,Texas,2019,57275
443,Utah,2019,2922
444,Vermont,2019,1195
445,Virginia,2019,15601
446,Washington,2019,17262
447,West Virginia,2019,1183
448,Wisconsin,2019,6511
449,Wyoming,2019,239
450,Alabama,2020,5713
451,Alaska,2020,1206
452,Arizona,2020,13273
453,Arkansas,2020,3154
454,California,2020,6350
455,Colorado,2020,9869
456,Connecticut,2020,9115
457,Delaware,2020,2281
458,Florida,2020,74868
459,Georgia,2020,37533
460,Hawaii,2020,1809
461,Idaho,2020,1680
462,Illinois,2020,46243
463,Indiana,2020,7756
464,Iowa,2020,4058
465,Kansas,2020,7526
466,Kentucky,2020,4104
467,Louisiana,2020,7473
468,Maine,2020,2064
469,Maryland,2020,15372
470,Massachusetts,2020,16452
471,Michigan,2020,29669
472,Minnesota,2020,10349
473,Mississippi,2020,3559
474,Missouri,2020,167
475,Montana,2020,1675
476,Nebraska,2020,2378
477,Nevada,2020,8633
478,New Hampshire,2020,22972
479,New Jersey,2020,4293
480,New Mexico,2020,63142
481,New York,2020,15641
482,North Carolina,2020,30004
483,North Dakota,2020,1174
484,Ohio,2020,20605
485,Oklahoma,2020,3797
486,Oregon,2020,6991
487,Pennsylvania,2020,32123
488,Rhode Island,2020,2611
489,South Carolina,2020,5468
490,South Dakota,2020,125
491,Tennessee,2020,11243
492,Texas,2020,55132
493,Utah,2020,2362
494,Vermont,2020,1227
495,Virginia,2020,15604
496,Washington,2020,16909
497,West Virginia,2020,1001
498,Wisconsin,2020,6430
499,Wyoming,2020,187
