state,proportion of women,year
NC,0.253,2017
ND,0.184,2017
OH,0.22,2017
OK,0.134,2017
OR,0.333,2017
PA,0.186,2017
RI,0.31,2017
SC,0.141,2017
SD,0.2,2017
TN,0.159,2017
TX,0.204,2017
UT,0.202,2017
VT,0.4,2017
VA,0.193,2017
WA,0.374,2017
WV,0.134,2017
WI,0.227,2017
WY,0.111,2017
AL,0.15,2018
AK,0.317,2018
AZ,0.4,2018
AR,0.193,2018
CA,0.258,2018
CO,0.38,2018
CT,0.273,2018
DE,0.21,2018
FL,0.256,2018
GA,0.267,2018
HI,0.289,2018
ID,0.314,2018
IL,0.35,2018
IN,0.2,2018
IA,0.233,2018
KS,0.285,2018
KY,0.167,2018
LA,0.153,2018
ME,0.339,2018
MD,0.335,2018
MA,0.245,2018
MI,0.25,2018
MN,0.318,2018
MS,0.144,2018
MO,0.228,2018
MT,0.28,2018
NE,0.265,2018
NV,0.397,2018
NH,0.288,2018
NJ,0.308,2018
NM,0.304,2018
NY,0.282,2018
NC,0.247,2018
ND,0.184,2018
OH,0.22,2018
OK,0.128,2018
OR,0.333,2018
PA,0.194,2018
RI,0.319,2018
SC,0.159,2018
SD,0.21,2018
TN,0.159,2018
TX,0.199,2018
UT,0.202,2018
VT,0.394,2018
VA,0.271,2018
WA,0.374,2018
WV,0.149,2018
WI,0.242,2018
WY,0.111,2018
AL,0.164,2019
AK,0.383,2019
AZ,0.389,2019
AR,0.244,2019
CA,0.317,2019
CO,0.46,2019
CT,0.321,2019
DE,0.242,2019
FL,0.3,2019
GA,0.305,2019
HI,0.316,2019
ID,0.324,2019
IL,0.362,2019
IN,0.253,2019
IA,0.293,2019
KS,0.279,2019
KY,0.232,2019
LA,0.153,2019
ME,0.376,2019
MD,0.383,2019
MA,0.285,2019
MI,0.358,2019
MN,0.313,2019
MS,0.138,2019
MO,0.239,2019
MT,0.307,2019
NE,0.286,2019
NV,0.524,2019
NH,0.342,2019
NJ,0.317,2019
NM,0.357,2019
NY,0.324,2019
NC,0.253,2019
ND,0.22,2019
OH,0.273,2019
OK,0.215,2019
OR,0.422,2019
PA,0.261,2019
RI,0.372,2019
SC,0.165,2019
SD,0.229,2019
TN,0.152,2019
TX,0.232,2019
UT,0.25,2019
VT,0.4,2019
VA,0.264,2019
WA,0.401,2019
WV,0.134,2019
WI,0.273,2019
WY,0.156,2019
AL,0.157,2020
AK,0.367,2020
AZ,0.389,2020
AR,0.259,2020
CA,0.308,2020
CO,0.44,2020
CT,0.321,2020
DE,0.242,2020
FL,0.294,2020
GA,0.301,2020
HI,0.329,2020
ID,0.314,2020
IL,0.367,2020
IN,0.253,2020
IA,0.293,2020
KS,0.291,2020
KY,0.246,2020
LA,0.181,2020
ME,0.376,2020
MD,0.404,2020
MA,0.29,2020
MI,0.365,2020
MN,0.318,2020
MS,0.161,2020
MO,0.244,2020
MT,0.307,2020
NE,0.286,2020
NV,0.54,2020
NH,0.34,2020
NJ,0.308,2020
NM,0.366,2020
NY,0.315,2020
NC,0.253,2020
ND,0.22,2020
OH,0.273,2020
OK,0.215,2020
OR,0.433,2020
PA,0.269,2020
RI,0.372,2020
SC,0.171,2020
SD,0.248,2020
TN,0.152,2020
TX,0.249,2020
UT,0.26,2020
VT,0.406,2020
VA,0.286,2020
WA,0.408,2020
WV,0.142,2020
WI,0.258,2020
WY,0.156,2020
AL,0.136,2011
AK,0.233,2011
AZ,0.344,2011
AR,0.222,2011
CA,0.283,2011
CO,0.41,2011
CT,0.299,2011
DE,0.258,2011
FL,0.256,2011
GA,0.237,2011
HI,0.342,2011
ID,0.276,2011
IL,0.311,2011
IN,0.213,2011
IA,0.213,2011
KS,0.273,2011
KY,0.188,2011
