state,proportion of women,year,Position_Governor,Position_Lt. Governor
VA,0.193,2017,0.0,0.0
WA,0.374,2017,0.0,0.0
WV,0.134,2017,0.0,0.0
WI,0.227,2017,0.0,1.0
WY,0.111,2017,0.0,0.0
AL,0.143,2014,0.0,1.0
AK,0.267,2014,0.0,0.0
AZ,0.356,2014,1.0,0.0
AR,0.17,2014,0.0,0.0
CA,0.267,2014,0.0,0.0
CO,0.41,2014,0.0,0.0
CT,0.294,2014,0.0,1.0
DE,0.258,2014,0.0,0.0
FL,0.256,2014,0.0,0.0
GA,0.225,2014,0.0,0.0
HI,0.303,2014,0.0,0.0
ID,0.267,2014,0.0,0.0
IL,0.322,2014,0.0,1.0
IN,0.207,2014,0.0,1.0
IA,0.233,2014,0.0,1.0
KS,0.255,2014,0.0,0.0
KY,0.181,2014,0.0,1.0
LA,0.125,2014,0.0,0.0
ME,0.296,2014,0.0,0.0
MD,0.303,2014,0.0,0.0
MA,0.25,2014,0.0,0.0
MI,0.189,2014,0.0,0.0
MN,0.338,2014,0.0,1.0
MS,0.172,2014,0.0,0.0
MO,0.223,2014,0.0,0.0
MT,0.273,2014,0.0,1.0
NE,0.204,2014,0.0,0.0
NV,0.27,2014,0.0,0.0
NH,0.328,2014,1.0,0.0
NJ,0.308,2014,0.0,1.0
NM,0.286,2014,1.0,0.0
NY,0.207,2014,0.0,0.0
NC,0.218,2014,0.0,0.0
ND,0.177,2014,0.0,0.0
OH,0.235,2014,0.0,1.0
OK,0.134,2014,1.0,0.0
OR,0.311,2014,0.0,0.0
PA,0.178,2014,0.0,0.0
RI,0.265,2014,0.0,1.0
SC,0.129,2014,1.0,0.0
SD,0.219,2014,0.0,0.0
TN,0.167,2014,0.0,0.0
TX,0.215,2014,0.0,0.0
UT,0.163,2014,0.0,0.0
VT,0.394,2014,0.0,0.0
VA,0.171,2014,0.0,0.0
WA,0.327,2014,0.0,0.0
WV,0.164,2014,0.0,0.0
WI,0.258,2014,0.0,1.0
WY,0.156,2014,0.0,0.0
AL,0.136,2013,0.0,1.0
AK,0.283,2013,0.0,0.0
AZ,0.356,2013,1.0,0.0
AR,0.17,2013,0.0,0.0
CA,0.267,2013,0.0,0.0
CO,0.41,2013,0.0,0.0
CT,0.294,2013,0.0,1.0
DE,0.258,2013,0.0,0.0
FL,0.256,2013,0.0,0.0
GA,0.225,2013,0.0,0.0
HI,0.303,2013,0.0,0.0
ID,0.257,2013,0.0,0.0
IL,0.311,2013,0.0,1.0
IN,0.207,2013,0.0,1.0
IA,0.233,2013,0.0,1.0
KS,0.236,2013,0.0,0.0
KY,0.174,2013,0.0,0.0
LA,0.118,2013,0.0,0.0
ME,0.296,2013,0.0,0.0
