Label (Grouping),Alabama!!Estimate,Alaska!!Estimate,Arizona!!Estimate,Arkansas!!Estimate,California!!Estimate,Colorado!!Estimate,Connecticut!!Estimate,Delaware!!Estimate,District of Columbia!!Estimate,Florida!!Estimate,Georgia!!Estimate,Hawaii!!Estimate,Idaho!!Estimate,Illinois!!Estimate,Indiana!!Estimate,Iowa!!Estimate,Kansas!!Estimate,Kentucky!!Estimate,Louisiana!!Estimate,Maine!!Estimate,Maryland!!Estimate,Massachusetts!!Estimate,Michigan!!Estimate,Minnesota!!Estimate,Mississippi!!Estimate,Missouri!!Estimate,Montana!!Estimate,Nebraska!!Estimate,Nevada!!Estimate,New Hampshire!!Estimate,New Jersey!!Estimate,New Mexico!!Estimate,New York!!Estimate,North Carolina!!Estimate,North Dakota!!Estimate,Ohio!!Estimate,Oklahoma!!Estimate,Oregon!!Estimate,Pennsylvania!!Estimate,Rhode Island!!Estimate,South Carolina!!Estimate,South Dakota!!Estimate,Tennessee!!Estimate,Texas!!Estimate,Utah!!Estimate,Vermont!!Estimate,Virginia!!Estimate,Washington!!Estimate,West Virginia!!Estimate,Wisconsin!!Estimate,Wyoming!!Estimate,Puerto Rico!!Estimate
"            High school graduate, GED, or alternative","96,921","15,458","99,398","67,721","549,858","75,680","62,921","18,264","7,181","358,371","191,121","27,576","25,316","221,648","134,235","53,091","41,780","105,458","98,207","29,900","95,160","109,486","179,671","76,744","59,162","110,703","18,709","26,880","56,018","26,074","159,411","36,312","332,845","176,998","11,391","238,554","74,720","60,450","268,653","17,740","90,713","13,997","148,903","432,157","42,021","11,293","146,351","104,808","50,311","107,145","10,240","66,316"
"            Some college, no degree","66,804","12,298","97,160","38,080","529,464","82,853","36,647","10,758","4,937","232,112","145,284","19,548","26,120","174,212","87,347","39,132","44,477","58,867","62,771","18,107","74,619","66,279","146,124","76,605","48,992","81,630","14,624","26,284","48,652","15,112","99,199","27,122","210,310","140,036","8,152","156,474","56,777","63,222","131,639","11,371","65,204","11,371","92,732","400,121","43,072","6,592","100,826","110,437","24,191","74,253","9,580","32,748"
            Associate's degree,"21,968","4,939","37,274","10,533","168,349","28,765","14,376","3,396","1,264","117,700","44,821","9,975","10,189","59,793","36,070","21,708","15,724","17,977","13,278","6,828","23,998","27,890","50,456","38,544","13,439","27,354","4,584","13,092","14,849","7,589","34,265","10,642","106,480","52,264","7,020","53,412","18,427","19,758","63,297","4,912","27,246","5,386","25,091","122,516","13,981","2,867","35,918","47,349","6,221","39,668","4,552","28,457"
            Bachelor's degree,"46,469","7,521","79,017","27,971","509,770","85,998","49,240","10,435","8,782","222,361","128,047","16,444","17,426","182,610","69,881","36,291","35,684","42,191","38,656","12,653","76,399","101,181","108,175","81,256","22,738","65,965","12,370","24,081","29,231","19,441","145,194","19,441","250,044","122,912","7,669","128,834","37,387","52,097","148,169","13,690","46,814","9,735","68,060","307,997","37,338","8,539","115,258","95,904","12,980","66,870","4,989","39,716"
            Graduate or professional degree,"25,204","6,052","41,036","12,609","305,228","50,678","39,094","4,901","17,334","106,577","71,577","8,081","9,146","103,869","32,363","16,333","19,573","22,235","19,183","6,491","64,555","77,358","63,711","40,618","12,636","35,937","3,999","11,362","12,241","9,800","88,197","11,461","170,102","56,586","4,948","68,771","16,774","30,145","86,828","8,562","26,140","3,696","34,814","162,744","26,254","4,415","89,758","53,171","7,014","35,088","2,925","15,759"
        45 to 64 years:,"618,478","103,383","777,860","369,496","4,678,485","675,762","503,314","120,287","68,823","2,507,296","1,217,358","182,407","195,122","1,649,532","851,961","408,743","365,671","582,240","581,774","201,290","777,145","895,888","1,359,394","727,710","362,039","786,709","143,308","237,257","354,433","200,885","1,195,851","263,185","2,528,974","1,228,307","93,042","1,561,977","471,666","513,785","1,754,404","141,783","598,680","109,807","827,955","3,057,906","282,220","94,543","1,064,883","912,476","263,957","796,483","78,462","421,694"
            Less than 9th grade,"32,769","1,869","50,941","19,034","489,244","25,764","16,388","4,232","3,729","109,202","56,976","5,915","7,844","84,089","29,368","11,234","12,216","37,593","34,989","4,545","26,290","36,365","33,684","11,707","21,184","21,858","1,573","10,929","20,096","4,160","49,674","17,684","147,212","62,196","1,515","37,091","20,566","16,813","44,762","8,136","26,454","3,117","41,863","297,757","8,655","1,510","45,805","32,781","13,153","18,478",982,"74,468"
"            9th to 12th grade, no diploma","69,255","5,148","51,780","39,785","375,075","33,441","27,665","8,302","6,398","208,927","118,673","8,442","11,912","110,513","68,630","20,293","21,092","58,381","68,041","11,327","53,779","50,229","95,374","29,476","46,354","65,877","6,130","10,666","31,399","11,647","71,987","20,889","200,312","114,851","4,493","120,186","39,695","31,135","122,146","11,531","64,550","5,681","76,826","272,859","14,637","6,189","85,855","46,528","26,760","45,839","3,819","44,876"
"            High school graduate, GED, or alternative","205,619","31,942","186,257","141,589","949,062","148,987","146,172","43,011","15,262","766,281","363,550","50,022","53,658","455,908","327,176","149,600","108,499","219,336","220,376","78,577","215,544","254,470","437,855","208,915","123,902","268,252","46,191","68,971","99,417","64,332","349,638","72,453","728,358","365,813","28,006","583,190","157,242","128,660","687,372","42,684","187,519","41,772","290,745","785,531","62,803","31,559","276,814","215,455","118,020","278,238","26,657","137,153"
"            Some college, no degree","124,211","30,265","197,846","75,059","1,040,095","148,404","89,726","22,612","10,485","508,356","244,734","41,161","51,185","367,287","173,104","88,181","86,676","112,929","119,771","37,143","150,080","154,518","332,160","168,256","78,041","179,258","37,084","55,634","98,469","34,168","215,583","60,152","439,818","257,182","22,753","316,168","110,105","142,055","289,613","23,109","120,730","21,988","165,508","662,186","77,940","15,523","208,737","234,432","45,363","165,917","18,792","49,394"
            Associate's degree,"42,923","7,168","65,682","20,613","364,252","56,394","33,610","7,766","3,191","214,393","80,719","20,897","17,542","122,630","63,148","40,574","25,450","32,100","22,008","17,167","42,414","62,126","110,621","75,065","25,974","49,599","11,599","23,942","27,090","18,573","67,167","20,402","211,990","95,550","12,410","111,940","31,523","45,301","131,792","11,792","52,109","9,635","50,154","186,301","23,650","7,876","65,367","90,453","13,549","81,453","7,130","32,090"
            Bachelor's degree,"90,277","16,049","133,155","47,667","871,968","159,230","103,333","19,939","12,195","437,956","220,209","35,331","33,575","302,478","119,327","65,591","68,835","71,910","71,702","34,740","146,673","187,853","208,658","151,170","42,751","124,372","25,512","43,245","49,908","40,676","263,538","40,040","452,668","210,994","16,644","242,400","72,869","90,333","281,955","27,874","94,196","18,047","126,116","538,544","56,761","19,933","200,901","181,009","27,770","130,455","13,042","57,435"
