"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"            Bachelor's degree","43,725","±3,316","7,147","±1,324","73,019","±5,958","26,103","±2,902","495,083","±13,034","87,877","±4,404","48,669","±3,188","9,891","±1,335","9,960","±1,714","203,602","±9,902","131,028","±6,847","15,424","±1,981","17,122","±2,203","176,557","±6,201","69,185","±3,947","32,863","±2,663","34,225","±2,630","36,880","±2,755","38,299","±3,155","15,175","±1,628","79,231","±4,960","102,431","±4,684","107,925","±4,422","81,345","±3,383","24,613","±2,841","68,021","±3,911","11,661","±1,689","23,381","±2,085","26,544","±3,239","17,652","±2,035","143,206","±5,692","15,694","±2,038","254,438","±8,016","119,448","±6,435","7,556","±1,036","125,684","±4,752","37,570","±2,834","48,295","±3,389","144,949","±4,761","11,847","±1,620","47,534","±4,856","9,170","±1,527","67,748","±4,381","315,154","±10,949","35,083","±3,141","8,827","±1,185","120,792","±5,689","98,096","±4,945","17,604","±2,094","66,958","±2,966","6,667","±1,252","40,489","±2,997"
"            Graduate or professional degree","21,042","±2,285","5,071","±1,093","34,735","±3,738","11,717","±1,929","303,495","±8,781","49,068","±3,276","36,646","±2,784","6,627","±1,011","12,914","±1,347","109,009","±7,307","68,353","±4,865","7,560","±1,315","9,127","±1,749","107,605","±5,201","34,048","±3,095","15,705","±1,640","19,716","±2,249","24,529","±2,515","16,958","±1,987","6,542","±1,052","62,331","±3,744","76,595","±4,097","64,405","±3,371","41,637","±2,934","11,354","±2,058","34,537","±2,349","5,675","±1,138","10,474","±1,497","10,719","±2,312","11,302","±1,371","87,206","±4,087","12,450","±1,891","171,723","±5,800","62,278","±4,306","2,772","±800","68,650","±4,085","17,096","±1,794","27,951","±2,512","85,377","±3,976","9,110","±1,531","22,715","±2,605","3,170","±839","36,299","±3,322","158,536","±8,164","23,293","±1,945","3,975","±860","88,864","±4,862","51,177","±2,792","7,878","±1,374","32,971","±2,816","1,629","±523","14,664","±1,957"
"        45 to 64 years:","627,551","±3,335","102,937","±1,580","773,756","±2,354","374,495","±3,108","4,652,933","±4,208","672,525","±2,458","501,986","±1,944","118,872","±968","68,616","±718","2,491,243","±6,262","1,207,609","±5,472","183,074","±1,033","195,156","±2,080","1,650,699","±3,903","848,161","±2,875","411,024","±2,285","368,554","±2,337","583,788","±2,875","582,535","±3,696","201,834","±956","775,460","±2,535","896,579","±1,984","1,364,391","±2,599","730,703","±2,420","369,912","±4,014","793,633","±2,603","143,330","±1,207","237,864","±1,432","352,760","±2,079","202,123","±1,384","1,187,042","±1,608","266,534","±2,398","2,527,887","±2,956","1,230,395","±6,499","91,314","±711","1,574,982","±3,450","474,503","±2,331","515,650","±2,800","1,766,692","±3,272","141,782","±1,040","599,452","±4,081","110,252","±1,103","842,319","±3,664","3,027,881","±6,730","279,064","±1,951","94,640","±630","1,064,570","±4,750","913,624","±3,127","266,670","±2,003","796,944","±2,731","80,065","±1,334","425,054","±1,218"
"            Less than 9th grade","32,392","±2,842","2,713","±648","50,072","±4,141","22,929","±2,902","484,334","±11,073","23,936","±2,609","17,552","±2,356","2,828","±1,006","3,144","±1,019","118,946","±6,698","59,643","±3,979","6,126","±1,388","8,716","±1,818","82,539","±4,009","27,976","±2,443","12,614","±1,442","14,361","±1,560","33,489","±2,481","36,906","±3,027","4,683","±993","25,085","±2,749","39,061","±2,825","38,190","±3,214","15,065","±1,624","25,438","±2,793","22,699","±2,086","2,330","±646","7,210","±1,191","22,748","±2,641","4,620","±920","53,192","±3,458","17,469","±2,045","142,173","±6,349","56,817","±4,554","1,148","±366","37,803","±2,808","19,046","±1,575","18,567","±2,301","45,923","±3,446","9,480","±1,379","31,119","±2,981","3,728","±924","49,140","±3,544","293,538","±9,095","9,050","±1,404","1,935","±469","45,925","±3,656","32,028","±3,173","15,468","±1,920","19,094","±1,842","1,692","±900","83,806","±3,684"
"            9th to 12th grade, no diploma","72,107","±4,280","4,589","±974","56,177","±4,685","37,026","±2,713","366,240","±9,163","30,782","±2,655","27,463","±2,878","10,603","±1,473","7,090","±1,221","214,194","±9,211","120,781","±6,208","8,304","±1,423","12,968","±2,037","116,159","±4,631","65,657","±3,830","22,645","±1,690","19,518","±2,088","61,061","±3,820","67,535","±3,955","11,255","±1,496","49,945","±3,080","43,803","±3,262","98,442","±4,422","31,182","±2,328","50,583","±3,250","66,866","±3,928","8,435","±1,575","9,797","±1,310","26,884","±2,801","9,834","±1,472","69,073","±3,894","24,526","±2,587","201,369","±8,019","121,752","±6,605","3,865","±824","120,569","±5,254","43,248","±2,534","29,699","±2,866","124,530","±4,418","11,992","±1,853","62,975","±4,101","5,143","±982","80,537","±4,324","257,613","±9,600","15,635","±1,886","5,485","±789","84,389","±4,608","46,146","±3,825","27,503","±2,203","46,636","±2,395","4,099","±854","45,318","±3,825"
"            High school graduate, GED, or alternative","203,297","±5,583","31,704","±2,645","186,241","±7,888","142,494","±3,981","954,170","±16,586","150,211","±6,221","146,330","±4,632","40,790","±2,627","15,083","±1,859","767,951","±16,995","370,123","±7,764","49,246","±2,737","48,389","±3,072","471,025","±8,611","322,104","±7,194","147,851","±4,048","109,658","±3,924","223,549","±6,205","213,833","±5,518","74,907","±2,702","212,842","±6,360","250,236","±7,483","432,204","±7,246","216,062","±5,341","118,474","±4,271","266,119","±7,440","46,796","±2,738","73,649","±2,724","101,890","±4,426","61,650","±2,929","339,359","±8,836","75,246","±4,122","738,293","±13,050","375,595","±10,037","28,854","±1,432","591,955","±8,752","148,180","±4,581","132,618","±5,199","705,532","±9,544","35,953","±2,744","197,964","±7,620","40,242","±2,489","292,809","±6,880","759,176","±14,275","63,294","±3,411","32,789","±1,787","283,319","±7,988","212,866","±7,063","120,655","±3,639","279,755","±5,343","25,758","±2,275","131,228","±4,522"
"            Some college, no degree","137,175","±5,151","30,940","±2,485","196,747","±7,599","78,421","±4,283","1,039,332","±14,268","154,249","±5,674","91,157","±4,614","24,063","±2,271","12,958","±1,560","503,688","±13,158","239,841","±7,739","44,765","±3,070","50,318","±3,067","355,912","±8,412","172,276","±6,984","85,368","±3,795","87,255","±3,606","109,700","±4,943","125,896","±4,452","37,025","±2,449","152,957","±6,351","148,423","±5,926","331,953","±7,018","166,647","±5,021","81,389","±4,431","178,369","±6,016","34,563","±2,689","55,880","±2,498","90,178","±5,027","39,598","±2,963","209,948","±6,880","55,101","±3,904","438,516","±9,687","249,483","±7,682","22,721","±1,874","317,408","±7,521","113,614","±4,114","136,156","±4,691","286,894","±6,057","25,389","±2,166","117,061","±5,305","23,219","±1,628","171,147","±6,295","656,447","±11,428","74,152","±3,689","16,786","±1,654","200,880","±7,256","221,949","±6,980","43,503","±2,712","167,777","±4,688","22,014","±1,903","51,817","±3,258"
"            Associate's degree","41,910","±3,088","7,225","±1,435","63,583","±5,055","17,520","±2,072","352,624","±10,099","54,955","±4,049","32,234","±2,880","6,558","±1,411","1,621","±503","208,699","±8,477","71,338","±4,819","18,399","±2,096","19,038","±2,392","118,562","±4,443","61,242","±4,280","38,604","±2,712","24,373","±2,009","32,984","±2,877","23,441","±2,424","17,272","±1,663","43,051","±3,136","62,807","±4,215","110,571","±4,916","75,671","±3,118","25,176","±2,805","52,839","±3,509","12,074","±1,617","24,867","±1,757","28,845","±3,373","17,744","±1,805","66,083","±3,719","18,670","±2,344","208,859","±6,133","98,534","±5,387","12,203","±1,400","111,957","±4,448","32,361","±2,473","43,115","±3,153","127,521","±5,271","11,846","±1,395","51,042","±4,346","10,318","±1,516","48,593","±3,705","197,039","±8,224","21,667","±1,867","6,632","±973","69,265","±4,350","87,957","±4,512","13,513","±1,637","75,964","±4,050","7,160","±1,182","27,837","±2,627"
"            Bachelor's degree","84,960","±4,871","15,450","±1,814","136,595","±7,446","46,910","±2,898","872,195","±14,537","154,760","±5,123","102,341","±4,507","19,249","±1,760","11,987","±1,598","421,234","±11,410","214,912","±8,387","36,255","±2,568","36,712","±2,819","302,095","±7,182","123,156","±4,613","68,204","±3,376","70,645","±3,613","71,890","±4,004","74,113","±3,847","34,128","±2,171","156,592","±5,839","201,115","±5,703","209,356","±5,405","145,828","±4,305","44,215","±3,773","128,692","±6,099","25,081","±2,197","42,273","±2,392","51,290","±4,382","43,244","±2,418","263,676","±7,521","40,827","±3,051","451,520","±9,057","208,710","±7,579","16,667","±1,442","239,691","±6,855","77,590","±3,897","93,888","±4,291","279,418","±6,477","27,739","±2,082","86,510","±4,947","18,580","±1,751","126,138","±6,919","554,749","±13,163","56,088","±3,253","17,842","±1,594","195,626","±5,545","190,717","±7,328","28,120","±2,523","128,685","±5,113","11,819","±1,632","58,795","±3,794"
"            Graduate or professional degree","55,710","±3,785","10,316","±1,527","84,341","±4,760","29,195","±2,913","584,038","±10,826","103,632","±5,110","84,909","±3,865","14,781","±1,680","16,733","±1,792","256,531","±9,166","130,971","±6,103","19,979","±1,674","19,015","±2,393","204,407","±6,781","75,750","±3,758","35,738","±2,612","42,744","±3,089","51,115","±3,865","40,811","±3,309","22,564","±1,885","134,988","±5,171","151,134","±5,298","143,675","±4,216","80,248","±3,145","24,637","±2,520","78,049","±4,160","14,051","±1,885","24,188","±2,027","30,925","±3,533","25,433","±2,295","185,711","±6,090","34,695","±2,660","347,157","±8,112","119,504","±6,462","5,856","±806","155,599","±4,797","40,464","±2,525","61,607","±3,920","196,874","±6,119","19,383","±2,068","52,781","±3,932","9,022","±1,260","73,955","±4,163","309,319","±10,222","39,178","±2,745","13,171","±1,246","185,166","±6,227","121,961","±5,267","17,908","±1,619","79,033","±3,702","7,523","±1,184","26,253","±2,151"
"        65 years and over:","285,310","±1,291","28,415","±686","422,047","±1,300","187,062","±1,191","1,921,723","±1,994","256,679","±1,036","217,639","±846","58,685","±537","27,814","±253","1,494,405","±3,266","458,625","±2,710","90,132","±536","94,285","±915","695,077","±1,520","365,316","±1,397","195,680","±679","164,956","±1,004","255,092","±1,415","242,945","±1,225","96,014","±697","310,658","±1,326","386,705","±1,140","600,722","±1,190","307,540","±848","163,419","±1,217","370,220","±1,695","70,774","±624","108,172","±710","160,617","±987","82,378","±579","505,334","±1,026","127,687","±1,070","1,107,309","±1,395","543,516","±2,430","43,002","±284","700,686","±1,659","226,695","±1,044","247,470","±1,381","836,104","±1,729","63,649","±554","284,165","±1,589","52,584","±642","378,137","±1,668","1,186,843","±2,959","117,978","±945","41,852","±389","437,722","±2,116","385,813","±1,716","131,915","±1,087","345,356","±963","33,323","±370","245,984","*****"
"            Less than 9th grade","33,127","±2,551","2,703","±552","34,567","±2,711","21,982","±1,785","254,694","±6,233","15,599","±1,551","19,417","±1,772","4,169","±1,026","3,462","±948","135,885","±6,663","55,279","±3,917","8,609","±1,358","7,149","±1,107","69,137","±3,180","29,366","±2,466","16,901","±1,490","11,395","±1,286","50,216","±2,722","34,986","±2,572","11,832","±1,421","25,357","±2,030","35,627","±2,484","46,276","±3,068","25,927","±1,803","24,596","±2,109","34,599","±2,307","4,160","±747","7,297","±957","10,985","±1,584","6,695","±1,093","49,107","±3,387","17,301","±1,862","130,971","±4,653","62,896","±3,771","7,969","±751","56,306","±3,153","19,477","±1,543","12,310","±1,496","67,934","±2,829","7,315","±1,103","35,666","±2,679","6,371","±894","55,678","±3,021","182,067","±5,480","4,026","±792","3,754","±530","52,550","±3,104","22,021","±2,250","20,755","±1,890","29,079","±1,826","1,599","±532","95,696","±3,126"
"            9th to 12th grade, no diploma","38,908","±2,561","1,816","±435","27,193","±3,405","23,982","±2,129","145,607","±5,713","15,588","±1,791","21,373","±2,295","6,529","±1,291","3,106","±563","134,993","±5,999","55,702","±3,532","5,978","±916","7,848","±1,011","68,851","±3,605","39,026","±2,585","17,340","±1,702","10,768","±1,266","31,253","±2,169","30,115","±2,338","7,959","±1,016","35,166","±2,443","35,631","±2,682","70,616","±2,744","22,822","±1,498","20,411","±1,942","38,782","±2,740","5,192","±972","7,631","±931","13,744","±2,072","7,554","±1,186","48,177","±3,119","11,211","±1,495","120,138","±4,172","70,437","±4,265","3,167","±593","87,806","±3,153","22,205","±1,627","20,276","±1,775","103,765","±3,587","8,495","±1,428","32,280","±2,827","4,157","±765","48,740","±2,867","103,584","±4,301","9,194","±1,197","3,157","±618","41,876","±3,003","24,364","±2,276","16,932","±1,801","33,756","±2,131","2,826","±707","33,135","±2,303"
"            High school graduate, GED, or alternative","84,311","±3,074","7,200","±973","99,042","±6,309","64,588","±2,772","366,557","±8,748","61,914","±2,687","59,012","±2,607","17,072","±1,512","5,279","±1,028","418,474","±9,874","131,203","±5,034","28,650","±2,028","25,956","±2,149","224,648","±5,590","144,111","±3,965","84,371","±2,505","57,717","±2,638","79,404","±3,269","75,899","±2,970","31,111","±1,787","78,236","±3,638","113,509","±4,624","192,655","±4,211","103,092","±3,251","50,455","±3,142","126,267","±4,335","24,127","±1,864","41,791","±1,760","44,582","±3,085","24,605","±1,700","159,543","±5,051","28,703","±2,283","332,878","±7,160","150,650","±6,423","13,716","±1,072","259,700","±5,584","69,631","±2,833","59,699","±3,284","334,242","±5,530","17,307","±1,643","75,116","±3,936","18,322","±1,323","113,926","±4,030","277,803","±8,275","25,650","±2,070","13,169","±1,073","111,048","±3,845","91,906","±4,361","51,299","±2,513","133,485","±3,608","11,961","±1,427","61,005","±2,906"
"            Some college, no degree","51,865","±2,978","7,464","±1,136","98,422","±5,387","33,628","±2,320","365,885","±8,302","54,099","±2,484","30,615","±2,835","9,948","±1,376","2,491","±589","282,447","±9,053","80,057","±4,113","14,818","±1,756","23,340","±2,217","128,805","±4,415","64,991","±2,946","31,635","±2,197","34,841","±1,947","41,493","±2,677","43,659","±2,792","14,560","±1,503","47,759","±3,158","51,144","±3,086","120,524","±3,985","57,735","±2,655","29,452","±2,228","68,632","±3,023","14,904","±1,422","21,989","±1,395","35,909","±3,013","13,433","±1,332","74,179","±3,778","24,315","±2,353","152,614","±5,208","97,638","±4,688","8,285","±843","113,619","±3,246","50,146","±2,695","60,246","±3,145","111,644","±4,134","8,743","±1,202","45,623","±3,248","9,555","±1,132","64,892","±3,033","238,502","±7,364","30,131","±2,327","6,536","±843","67,007","±3,796","86,100","±3,575","18,921","±1,739","57,531","±2,762","6,822","±1,150","17,189","±1,836"
"            Associate's degree","10,738","±1,670","1,257","±448","25,550","±3,228","5,004","±1,131","130,300","±5,303","12,034","±1,516","8,748","±1,265","2,738","±721","767","±448","73,725","±5,645","18,020","±2,489","4,427","±825","4,540","±1,038","21,998","±1,815","13,576","±1,821","5,665","±872","5,196","±1,033","6,529","±1,165","5,730","±1,186","3,949","±679","9,122","±1,258","22,553","±2,205","25,272","±1,907","12,341","±1,401","5,228","±1,132","11,794","±1,489","2,417","±757","4,003","±732","9,093","±1,698","4,769","±975","15,650","±1,617","5,390","±1,045","51,720","±3,680","24,958","±2,633","2,155","±604","23,411","±2,103","9,241","±968","13,422","±1,413","27,807","±2,089","3,048","±704","14,390","±1,992","1,071","±436","11,111","±1,256","44,650","±2,899","6,100","±1,003","1,905","±553","15,941","±1,815","22,055","±1,897","3,753","±797","12,407","±1,281","1,417","±459","6,899","±1,087"
"            Bachelor's degree","35,573","±2,677","4,222","±810","75,488","±4,596","20,833","±2,034","346,460","±8,177","49,353","±3,016","38,075","±2,329","8,127","±1,063","4,343","±795","241,850","±8,074","64,763","±3,423","15,271","±1,555","14,310","±1,877","89,351","±3,997","35,165","±2,285","21,536","±1,952","24,852","±1,820","24,516","±1,987","28,020","±2,036","13,747","±1,427","48,991","±2,430","57,104","±3,180","70,298","±3,243","46,833","±2,207","16,276","±2,088","46,806","±2,649","10,644","±1,287","14,476","±1,481","26,101","±2,997","12,818","±1,233","84,484","±3,155","17,849","±1,979","148,185","±5,976","73,772","±4,355","4,363","±606","85,043","±3,566","30,900","±2,063","40,633","±2,580","96,576","±3,429","9,607","±1,233","44,535","±3,849","6,986","±1,242","45,415","±3,120","197,122","±6,108","22,950","±1,650","6,390","±760","67,259","±4,158","74,981","±4,264","10,499","±1,189","39,627","±2,309","4,699","±843","20,961","±1,747"
"            Graduate or professional degree","30,788","±2,500","3,753","±688","61,785","±3,871","17,045","±1,721","312,220","±8,623","48,092","±2,726","40,399","±2,395","10,102","±1,555","8,366","±832","207,031","±6,694","53,601","±3,401","12,379","±1,536","11,142","±1,317","92,287","±4,102","39,081","±2,697","18,232","±1,427","20,187","±1,620","21,681","±1,869","24,536","±2,148","12,856","±1,294","66,027","±2,783","71,137","±3,028","75,081","±2,887","38,790","±2,406","17,001","±2,094","43,340","±3,112","9,330","±1,347","10,985","±1,111","20,203","±2,337","12,504","±1,193","74,194","±3,284","22,918","±2,059","170,803","±4,221","63,165","±3,561","3,347","±685","74,801","±2,854","25,095","±1,862","40,884","±2,732","94,136","±3,631","9,134","±1,315","36,555","±3,079","6,122","±894","38,375","±2,677","143,115","±6,429","19,927","±1,902","6,941","±818","82,041","±3,809","64,386","±3,282","9,756","±1,150","39,471","±1,895","3,999","±774","11,099","±1,277"
"    Female:","1,924,729","±3,196","257,346","±917","2,461,657","±1,985","1,146,736","±2,045","14,418,147","±2,346","1,950,709","±1,971","1,444,606","±1,138","367,175","±702","273,800","±230","7,786,742","±4,158","3,799,327","±3,702","536,970","±695","582,329","±1,537","5,041,096","±2,737","2,529,551","±2,650","1,194,098","±2,163","1,095,731","±2,024","1,724,192","±2,536","1,791,813","±2,040","546,837","±1,269","2,347,479","±1,824","2,712,492","±1,090","3,909,326","±2,278","2,065,462","±2,240","1,164,803","±1,669","2,375,614","±3,147","389,445","±1,382","705,030","±1,665","1,025,820","±979","530,951","±1,178","3,524,611","±1,142","796,688","±1,298","7,940,026","±2,701","3,837,365","±4,328","264,563","±1,244","4,589,142","±3,086","1,457,811","±1,753","1,537,469","±1,866","5,180,987","±2,437","435,889","±700","1,873,423","±2,198","313,690","±1,443","2,554,171","±3,091","9,534,319","±4,605","971,816","±1,924","256,489","±799","3,217,051","±3,047","2,650,963","±2,301","753,404","±2,090","2,230,170","±2,307","212,980","±1,332","1,504,870","*****"
"        18 to 24 years:","240,543","±2,313","34,695","±976","310,156","±2,178","139,113","±2,352","1,912,202","±3,069","239,245","±2,182","161,772","±1,138","45,587","±565","46,204","±136","870,717","±5,300","495,092","±5,971","59,967","±1,067","77,880","±1,673","609,969","±3,083","326,305","±2,841","152,569","±1,991","143,505","±1,960","206,332","±2,388","240,972","±2,672","55,892","±1,051","275,787","±2,394","341,185","±1,314","486,495","±2,442","248,232","±2,065","155,892","±2,727","292,690","±2,510","47,763","±1,426","91,389","±1,557","122,401","±1,703","61,489","±1,001","372,444","±1,728","101,323","±1,660","976,954","±2,723","472,757","±3,878","39,461","±1,193","544,283","±2,882","186,734","±2,128","179,136","±2,433","624,296","±2,581","59,706","±491","237,196","±2,989","40,900","±1,145","306,281","±3,151","1,278,526","±5,940","162,106","±1,685","32,142","±623","403,269","±3,860","322,510","±2,527","84,639","±1,681","271,652","±2,121","26,203","±846","191,752","±1,726"
"            Less than 9th grade","3,067","±1,015","134","±127","6,637","±1,713","2,193","±888","32,448","±3,485","3,738","±1,110","3,047","±1,128","734","±526","494","±285","13,739","±2,811","9,778","±2,288","550","±315","703","±431","6,158","±1,288","5,642","±918","1,482","±521","1,569","±692","3,714","±1,135","4,453","±1,167","471","±343","4,247","±1,277","4,184","±1,145","6,319","±1,288","2,968","±1,036","1,381","±494","3,848","±1,098","171","±120","1,186","±685","1,442","±649","300","±180","5,288","±1,168","2,895","±1,113","18,001","±2,588","8,790","±2,283","350","±342","6,247","±1,052","3,137","±785","2,078","±913","7,041","±1,708","140","±167","2,240","±1,027","416","±281","5,233","±1,358","24,414","±3,060","1,207","±764","237","±162","4,351","±1,288","4,628","±1,390","1,588","±695","3,386","±1,016","236","±267","4,559","±1,095"
"            9th to 12th grade, no diploma","31,436","±3,001","5,583","±945","47,477","±3,980","17,168","±2,172","212,182","±7,963","29,035","±2,997","17,807","±2,151","4,608","±1,046","2,930","±787","113,794","±6,190","69,550","±4,678","4,853","±1,143","7,748","±1,334","68,111","±4,072","46,584","±3,719","13,838","±1,577","13,324","±1,605","22,505","±2,517","39,894","±4,176","5,412","±1,075","23,986","±2,796","25,939","±2,494","54,689","±3,635","25,749","±2,349","21,700","±2,240","36,602","±3,211","5,087","±1,005","8,190","±1,280","19,950","±2,996","4,778","±826","35,834","±2,980","19,013","±2,497","98,043","±4,937","55,777","±4,413","2,508","±631","66,477","±4,389","27,670","±2,279","21,681","±2,122","65,341","±3,672","6,010","±1,167","29,346","±3,403","5,805","±1,232","31,707","±3,169","186,556","±8,480","16,056","±2,144","1,519","±477","39,803","±3,178","35,828","±3,176","10,817","±1,738","26,949","±2,271","2,236","±825","16,883","±2,301"
"            High school graduate, GED, or alternative","64,909","±3,293","10,911","±1,269","86,021","±5,935","39,434","±3,245","511,666","±11,207","60,999","±4,001","41,177","±2,496","11,082","±1,598","8,541","±1,703","234,310","±8,623","144,820","±7,631","18,937","±1,987","23,570","±2,366","153,627","±5,820","91,471","±4,652","34,934","±2,722","33,130","±2,765","56,448","±4,006","69,545","±4,464","15,720","±1,782","70,982","±3,883","79,687","±4,409","124,578","±4,997","57,330","±3,216","40,720","±3,626","73,873","±3,690","14,374","±1,781","20,867","±1,977","36,597","±3,353","17,262","±1,821","94,596","±4,754","24,133","±2,284","228,442","±7,445","132,220","±6,094","8,708","±1,298","151,903","±6,626","56,410","±3,124","47,879","±3,566","172,964","±5,880","14,950","±1,713","72,299","±4,877","9,041","±1,594","101,520","±4,914","348,121","±11,880","38,973","±3,294","7,331","±1,022","100,469","±5,341","85,378","±4,177","25,350","±2,467","76,165","±3,799","6,855","±1,150","48,568","±3,289"
"            Some college, no degree","110,899","±3,953","13,909","±1,412","129,747","±6,673","62,471","±3,692","854,774","±14,222","104,637","±5,113","71,179","±3,392","22,013","±2,096","20,661","±2,632","346,627","±10,976","209,544","±7,527","27,035","±2,329","35,744","±2,695","253,787","±7,548","140,846","±5,636","72,317","±3,536","69,835","±3,406","99,116","±4,821","100,179","±4,356","24,930","±2,062","123,966","±4,164","165,812","±6,116","221,667","±6,060","112,551","±4,343","70,505","±4,009","128,050","±4,555","20,058","±2,176","44,557","±2,855","51,494","±3,886","28,699","±2,105","157,035","±5,428","45,159","±3,210","408,020","±8,819","211,397","±6,402","20,544","±1,972","240,874","±6,402","74,240","±3,516","81,809","±4,289","270,260","±6,413","26,667","±1,860","107,488","±5,184","20,109","±1,423","126,814","±6,024","550,692","±12,128","76,919","±3,986","18,270","±1,667","181,619","±7,170","131,436","±5,401","34,741","±2,575","126,458","±4,575","12,846","±1,522","91,298","±4,077"
"            Associate's degree","10,572","±1,786","1,424","±523","18,225","±2,607","7,972","±1,627","108,636","±5,850","8,879","±1,499","5,510","±1,234","1,612","±553","1,903","±1,022","82,268","±6,008","18,391","±2,923","2,524","±626","4,528","±1,266","40,241","±3,524","12,100","±1,888","12,584","±1,731","9,151","±1,634","9,148","±1,586","7,091","±1,728","2,743","±783","12,753","±2,266","9,964","±1,593","26,434","±2,402","16,264","±1,684","10,959","±1,792","16,831","±2,104","2,678","±816","5,095","±1,001","4,523","±1,242","3,109","±828","23,668","±2,613","4,342","±1,218","64,338","±4,051","19,246","±2,809","2,134","±610","22,184","±2,454","8,723","±1,391","8,079","±1,660","27,309","±2,935","2,981","±891","7,261","±1,786","2,836","±770","11,963","±2,043","59,325","±5,163","15,461","±2,165","1,165","±490","17,553","±2,548","28,712","±2,992","3,271","±919","11,925","±1,136","1,705","±580","14,535","±1,939"
"            Bachelor's degree","18,799","±1,982","2,585","±742","21,024","±2,557","9,264","±1,673","181,329","±7,329","30,244","±2,905","20,856","±1,905","4,767","±1,319","10,605","±1,732","71,640","±5,363","38,896","±3,386","6,000","±1,149","4,856","±1,274","82,349","±5,207","27,730","±2,828","16,189","±2,110","15,687","±1,932","14,198","±2,119","19,034","±2,456","6,464","±1,356","37,039","±3,025","52,247","±4,224","49,481","±3,629","32,474","±2,897","9,171","±1,438","30,316","±3,052","5,347","±1,400","10,766","±1,545","7,816","±1,805","6,370","±1,289","50,224","±3,304","5,114","±1,036","141,899","±5,162","42,353","±3,886","4,941","±1,210","52,164","±4,024","16,007","±1,974","16,430","±1,878","74,971","±3,864","8,436","±2,005","17,843","±2,442","2,664","±758","27,349","±3,166","100,111","±6,230","13,295","±1,748","3,519","±983","53,012","±4,617","35,154","±3,328","7,862","±1,506","24,832","±2,208","2,300","±850","14,950","±1,955"
"            Graduate or professional degree","861","±501","149","±147","1,025","±564","611","±314","11,167","±2,028","1,713","±998","2,196","±564","771","±454","1,070","±480","8,339","±2,075","4,113","±1,677","68","±88","731","±885","5,696","±1,364","1,932","±835","1,225","±478","809","±356","1,203","±584","776","±383","152","±152","2,814","±1,150","3,352","±725","3,327","±901","896","±440","1,456","±654","3,170","±1,009","48","±74","728","±443","579","±343","971","±466","5,799","±1,177","667","±488","18,211","±2,439","2,974","±1,048","276","±204","4,434","±1,478","547","±356","1,180","±656","6,410","±1,176","522","±367","719","±324","29","±49","1,695","±678","9,307","±2,103","195","±251","101","±74","6,462","±1,548","1,374","±653","1,010","±400","1,937","±809","25","±50","959","±426"
